%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248   -5.120824631334 -174.725899195494    0.6536    2.0286  -0.010   15
52807.586   -4.566677301006    3.103002002547    3.2331    2.3460   0.003   11
52814.204   -0.239290818882   -0.219297604076    0.2731    0.3316  -0.353    9
52817.269   -0.332626118377    0.122702398642    0.2698    0.4264  -0.134   39
52821.206    0.006999025885    0.115401601875    0.1606    0.2611  -0.021   19
52828.204   -0.196890222952   -0.248198402630    0.2605    0.2724  -0.014   16
52831.269    0.208785817897   -0.357998392531    0.3213    0.4136  -0.104   23
52835.203   -0.015952746713    0.863600403989    0.1607    0.2585   0.004   16
52836.583   -5.268597201846   17.771500802155    1.6438    1.2875  -0.186   74
52842.204   -0.057792458402   -0.328100401248    0.2967    0.2805  -0.070   14
52845.269    0.460392226732   -0.195400802738    0.3070    0.3470  -0.213   25
52849.206   -1.484862756638   -0.702698405064    0.6607    0.6238   0.467    4
52856.208   -0.044637451156    0.239799604174    0.3905    0.2938   0.603   14
52859.269    0.199130323594   -0.113698797577    0.3153    0.4842  -0.159   30
52863.206    0.001961376683   -0.544798804469    0.3052    0.4050   0.177   18
52866.271   -0.813169132824    1.282100403444    0.3788    0.4981   0.011   35
52870.204    0.433104769314   -0.277099201185    0.2504    0.3159   0.144   15
52873.269    0.084102854708   -0.504100799503    0.3289    0.3859  -0.063   14
52885.205   -0.017212159014   -0.139100404795    0.1691    0.2447   0.058   14
52887.269   -0.251602972512   -0.160498801449    0.2151    0.2538   0.343   45
52891.203   -0.718292451653   -0.070898397553    0.2048    0.2851  -0.281   18
52892.583   39.754330526061  135.911001595446    4.7722    4.1026  -0.134   13
52898.205    0.082144723441   -0.312598804442    0.2353    0.2172  -0.007   13
52901.273    0.246847483592   -0.128098798768    0.2529    0.2811   0.014   17
52905.206   -0.105089814300    0.014202002774    0.2102    0.2813  -0.050   14
52906.225    0.444157510644    0.757101607007    0.4787    0.7491   0.052   30
