%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248    8.141665511502 -315.696200400595    1.0483    4.0583   0.163   15
55650.228   -0.024586882391   -0.500000400283    0.1129    0.3020   0.042   44
55656.207   -0.175864966907    0.003700799667    0.1704    0.2261  -0.259   82
55657.230    0.068518097082    0.165600000113    0.0694    0.1294   0.002  123
55659.272    0.695515020104    3.598300799723    0.4271    1.2613   0.049   27
55663.209    0.368972848525    0.857699999823    0.2051    0.3854  -0.119   42
55664.228   11.185495309296    9.747197999932    4.5524    4.8954  -0.740    4
55665.247   -0.043927533018   -0.525902400028    0.1354    0.4805   0.429   22
55666.270   -0.723700125022   -1.428001200487    0.5142    1.1503   0.089   31
55671.270    0.220695737231    0.732700800032    0.1832    0.4775   0.057   44
55678.210   -0.137032512490    0.244997999488    0.2242    0.8088  -0.009   13
55680.270    0.035982634358   -0.168699599890    1.1847    1.1953   0.231    7
55684.207    0.166272059012    0.065699999841    0.1973    0.3199   0.028   38
55687.272   -0.526245567274   -0.017600400337    1.4259    1.0691  -0.749    3
55694.270   -0.136733887837   -0.436802400650    0.2655    0.5997  -0.039   46
55708.270   -0.320993582355   -0.194799600450    0.8952    0.8272  -0.453   12
55719.206    0.307201520952   -0.157302000225    0.3799    0.5969  -0.244   25
55722.270   -0.835994653093    0.565999199509    1.7275    1.2725  -0.382   11
55729.272   -0.159521658964    0.118299599716    0.5628    0.5220  -0.566   31
55736.270   -0.312447752715    0.116798399752    0.7066    1.3600  -0.198   15
55741.230    0.131037878258   -0.286801200389    0.0794    0.3475   0.318  285
55746.997    0.453683100387    7.552799999822    4.4495    8.4196  -0.920    6
55755.230    0.189808283742    0.415699199863    0.1550    0.5286   0.214   31
55757.268   -0.471069856047    0.562499999379    0.5744    0.6644  -0.734   28
55761.206    0.500010726782    0.057999599523    0.3639    0.3488   0.434   32
55771.268   -1.260438258092   -0.894499200310    0.9799    1.4708  -0.451   14
55778.270    1.275583385750   -0.036601200470    1.8353    1.3060  -0.647   13
55785.268    0.736894988254   -0.857502000606    1.1475    1.0743  -0.504   23
55790.207   -0.581716374882   -0.082900800624    0.4265    0.3681   0.003   35
55791.251   -1.341251611639   -1.821600000440    0.9631    2.3698   0.595   13
55797.227    0.287112416722   -2.006701200408    1.3946    2.1159   0.240    9
55799.268   -2.696446488977    3.167499599410    2.4527    1.8015  -0.685   10
55806.270    0.358329180700    0.433497599417    0.4344    0.6100   0.453   13
55811.208    0.328791060659   -0.213102000046    0.5241    0.5732   0.148   12
55845.206   -0.158021172352    0.247899600048    0.1455    0.2597   0.018   58
