%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248  -36.032648543528 -311.281502401428    1.0197    3.5824   0.228   14
53601.271   -0.303650545184   -0.400500001163    0.2006    0.4276  -0.189   32
53608.269    0.177265481872   -0.218401201124    0.3272    0.5853  -0.326   19
53615.271    0.076696710856   -0.783201599575    0.2673    0.3422  -0.151   22
53622.269    0.566415217856   -0.120801599124    0.3339    0.6662  -0.465   18
53643.271   -1.436627953526   -0.995000398873    0.5848    0.5198  -0.048   23
53657.271    1.048222851733   -0.733301998324    0.6165    0.4446   0.162    8
53664.269    0.343937941884   -0.473201999185    0.9367    1.8715  -0.846    4
53671.267    0.259631224317   -0.363301200323    0.2272    0.3586   0.010   13
53677.243    4.812429495571  -17.495999999184    0.3908    1.2211  -0.530    4
53678.269   -0.001940975123    0.237700799843    0.3095    0.7044  -0.493    8
53685.271    0.085796393073    0.004899600725    0.5971    0.5512  -0.412   12
53697.269   -0.141604873171   -0.560102399660    0.4680    0.4763   0.023    8
53703.205    1.307259671502    0.336499199705    0.7973    0.8648  -0.561   14
53706.269    0.229936645914   -0.395100000716    0.5153    0.6199  -0.462   16
53727.271   -4.149922065055    2.378599199204    1.8029    2.0352  -0.751    7
53734.269    0.417050108331   -0.357300000786    1.0086    0.6814  -0.504   20
53740.270    1.749975842486   -0.450100801430    2.1019    1.2155  -0.319    6
53748.287    0.934969854090   -2.385399599447    0.8943    2.4622  -0.661    5
53753.204    2.834905414211   -6.295302001291    1.5228    4.0304  -0.825    6
53754.256   10.476421062762  -87.122800800898    1.3511    7.8878  -0.928    3
53755.267   -0.675639496185   -2.107299598819    0.2666    0.7373  -0.156   15
53762.269    0.187263895623   -2.996402399802    0.2869    0.7928  -0.150   11
53768.252    0.209198237672   -0.285001200240    0.1096    0.3398  -0.395   63
53769.271    0.230384281393    1.086497998770    0.2856    0.5144   0.408   16
53776.269   -0.843801835265   -0.146001601209    0.4832    0.7774  -0.229    8
53783.271    0.863648229560   -1.302400798409    1.4268    3.2911  -0.928    5
53787.205   -0.037304585114    0.078897598854    0.3211    0.4243  -0.370   17
53797.271   -0.275896941904    0.421700399400    0.4983    1.5236  -0.732    7
53804.269   -0.364977216538    0.102200401741    0.4026    0.7223  -0.141   21
53811.271    1.786084290230   -2.002600798789    2.1979    1.6676  -0.883    5
53818.269    0.285297083406    0.564498000344    0.6207    0.5652   0.354   19
53825.271   -0.381686701903    1.852898401111    0.3720    3.6430  -0.149    3
53832.269   -0.290221277241   -0.135100800946    0.2192    0.6179   0.046   38
53846.277    0.271119517136   -2.614802400203    0.8622    2.3401  -0.716    3
53853.271   -0.412573957101    0.115700399661    0.3230    0.6105  -0.141   16
53860.269   -0.236056773556    0.089398798764    0.3529    0.6484  -0.217   12
53874.269   -0.073710235132   -0.574099200179    0.2616    0.6486  -0.008   13
53888.269    0.325137048190   -0.808002001307    0.3522    1.6590  -0.052    8
53893.204   -1.722670078248   -0.449802000446    0.6875    0.8492   0.129   17
53895.271   -0.055657843329   -0.387799200752    0.5366    0.5749   0.556    4
53900.268   -0.146227997032    1.457398800042    0.2996    1.1283  -0.429    8
53909.271    0.739053911729    1.373500801094    3.0624    1.7128   0.509    6
53916.270   -1.298307165479   -5.297702398366    0.7501    2.0327   0.256    8
53930.270    0.922138858396   -0.468302398460    0.4915    1.2224  -0.488   10
53936.245   -8.162719275871   -3.522301199510    7.4924    5.2249   0.984    3
53951.268   -0.798590244729   -0.021499199221    0.2831    0.4222  -0.060   17
53958.270   -0.123548817230    1.008900000343    0.3375    0.7506   0.265   20
53965.268   -0.591780414097    1.504598401070    2.6108    1.7026   0.428   11
53972.270   -0.179801065106   -0.572101198415    0.5821    0.7492   0.182   13
53979.272    0.783520664512   -1.232999999701    2.1912    1.4763  -0.937    4
53986.273   -0.894234821910    0.452199599366    1.0501    1.2257  -0.562   11
54000.270    1.146406472722   -1.854201598661    1.4074    1.9414  -0.871   13
54014.270    0.313946161208   -0.534002400698    1.6848    2.9131  -0.943   11
54021.272   -0.135634975171   -0.085802398786    0.4525    0.5695  -0.442   27
54028.270    0.195769173293   -0.177199199314    0.6975    1.1186  -0.535   16
54035.268   -2.539462944423    1.445000400935    2.2019    3.0610  -0.880    5
54042.270   -0.362588605936   -0.077101199025    0.6339    0.9834  -0.403   19
54048.249    0.059833331710    0.139499998753    0.0851    0.1261  -0.416  201
54056.270   -0.440030358108    0.478400400894    0.7239    0.8474  -0.705   10
54061.270   -0.753976519315    0.607100398753    1.6784    1.5260  -0.726    6
54070.270   -0.968990761207    0.822297599612    0.5461    0.7864  -0.452   18
54084.270    1.374853443130   -0.803300398999    0.9099    1.0948  -0.682   19
54091.272    0.266943825191   -1.552802398663    2.2764    1.4135   0.246    7
54097.207    0.239935059664    0.343098001210    0.8410    0.3576   0.060    5
54098.270    0.660118819914   -0.785599198494    0.4861    0.7212  -0.085   41
54105.268   -0.365123985606    0.694699200565    0.6124    0.9208  -0.540   24
54119.268    0.727565618910    0.207197999558    1.4482    1.1206  -0.757    7
54126.270   -0.118327421121   -1.587099600542    0.9200    1.3849  -0.092    5
54133.272    0.394968997214    2.382199199502    0.7320    1.1200  -0.453    9
54140.270   -2.850870265386    0.823197599686    0.8889    1.1980  -0.491   10
54161.272   -3.133331102711    0.244598399135    2.3148    2.0434  -0.793    5
54166.272    0.010592818298   -0.770299200425    1.3908    2.1056  -0.887   11
54182.270    1.980360327442   -1.479801599658    2.1548    3.5222  -0.919    5
54203.268   -1.615683977316    1.448398799297    0.4322    0.4536  -0.542   26
54216.249    1.233399206728   -0.942901200318    1.2946    1.1590  -0.870    6
54217.268   -0.223820182409    0.439498798954    0.5575    1.2574  -0.142   13
54224.270   -1.098659502515   -0.064602000549    0.5621    0.7636  -0.410   19
54231.268   -0.039242099663    0.558000001405    0.4232    0.9846  -0.564   17
54235.206    0.629532431127   -0.015501600004    1.4479    0.2003   0.495    9
54238.270    1.820255426989   -2.527599598423    1.8852    2.7770  -0.930   11
54245.268    1.403054681889   -3.500999998707    1.9749    2.9159  -0.918    6
54259.268    2.797303626823   -2.428902001128    2.4980    2.9788  -0.894    3
54266.270   -1.145063769847    3.357298800566    1.3577    1.9680  -0.787    9
54273.269   -0.241428602871    0.156898801151    2.3173    1.2731   0.367   11
54280.270   -2.946518303142    0.668397599668    2.4262    2.0742   0.399    4
54287.294   -1.600761573293   -0.330602399856    2.5450    1.6118   0.501    4
54294.270    2.137034373703    0.590299201519    2.4643    1.5996   0.587    5
54301.272    0.303499908415   -0.099899998673    1.4373    1.0504  -0.838    5
54308.270   -2.120622090612    0.171399601712    1.8414    1.3582   0.386   14
54314.250   -2.046761625837    0.437997599789    0.6884    0.7306  -0.250   37
54315.272   -2.512901814376    3.022300800026    2.5686    1.5176  -0.870    5
54321.248    5.598933378796   -2.919902399867    2.2859    2.3643  -0.880    6
54329.269   -0.097735985510    0.869400001591    1.4492    1.2962   0.286   30
54336.271    1.582705313789    1.979398801666    3.5961    2.1665   0.735    5
54343.269    0.819478679051    0.704300400400    1.4129    1.2093  -0.378   10
54350.271   -0.815152961027    0.081298801291    1.1794    0.8828  -0.876    7
54357.269    1.253392573654   -0.403200001386    0.9954    0.9921  -0.418    9
54364.271    0.753228017425   -1.253599198847    0.9022    0.6936  -0.021   14
54371.269    1.182514920466    2.778998400998    0.7424    0.8070  -0.355   38
54378.271   -0.967200219289   -0.521600401271    1.2858    1.1792  -0.421   28
54385.269   -0.333939731697    0.477698399237    0.3112    0.5146  -0.163   62
54392.267    0.475544197741    0.349099200747    0.3111    0.4863  -0.131   46
54399.269   -0.310662483210    0.831898799447    0.6792    0.8767  -0.693   21
54404.269   -0.227401266244    0.164199601116    0.7501    0.8537  -0.404   27
54413.269   -0.459576089554    0.888800399679    0.5942    1.3059  -0.743   37
54420.271    0.512250714170   -0.431600400219    0.2208    0.6622   0.081   54
54425.271    0.295739672061   -0.319399198290    0.1865    0.4862   0.132   64
54434.271   -0.683396271964    0.847799999804    0.4392    0.6031  -0.271   69
54441.269   -0.626248753129    0.549698398800    0.3420    0.6531   0.048   42
54448.271    0.192037656253   -0.751600800797    0.3456    0.8733  -0.713   57
54452.208   -0.080127768611   -0.009701999204    0.1495    0.2676   0.210   15
54455.269   -0.255602708566    0.659498401490    0.2284    0.4311  -0.123   36
54462.271    0.313946161208    0.208800001289    0.3544    0.4485   0.127   48
54469.269    0.470917409743    0.849200399600    1.9535    1.2408   0.421    9
54476.271    0.017457987256    0.750700800722    0.3174    0.4689  -0.327   36
54483.273    0.353932895060   -0.379602001033    0.3803    1.3175   0.166   22
54490.271   -1.068366855428    1.126497599202    1.1536    1.0282  -0.110   17
54497.273    0.218598786300   -0.311500799555    0.3699    0.5667  -0.326   31
54504.271    0.911993472014    0.315100799853    0.4191    0.7026   0.088   42
54511.269   -0.395563605325    0.427798801184    0.4955    0.3863  -0.516   23
54518.271    0.018951123336   -0.143999999125    0.3232    0.4865   0.221   48
54525.273   -0.309169143567   -0.454802400540    1.5322    0.9976   0.223   13
54532.271   -0.273805533575   -1.166299201216    0.5091    0.6403  -0.028   34
54537.205   -0.281415336723   -0.271299600385    0.3157    0.3171   0.116   24
54539.269   -1.498101393948    0.617097598621    1.1659    1.1157   0.070   16
54545.270    0.640422655261   -0.522799199132    0.4735    1.3081  -0.048   15
54553.269    0.129518308103   -0.013399198551    0.2223    0.5194  -0.184   36
54560.271   -0.194723469128   -0.540201598653    0.2420    0.7856  -0.111   72
54567.269    0.481363662535    0.970397998756    0.4025    1.0880  -0.203   19
54574.271   -0.284101149599    1.565899199107    0.2109    0.7376  -0.083   44
54581.273    0.292756656912   -1.293199198926    0.2323    0.8142   0.104   26
54586.270    0.658478711202   -1.200801598955    0.4919    0.9565   0.219   12
54594.268   -0.102957381619   -0.606301201245    0.2717    0.6344   0.057   46
54602.271   -0.053867301411    0.959000399092    0.1809    0.7007  -0.266   45
54609.273   -0.235011272955    1.387198800629    0.2050    0.7389  -0.337   28
54616.271    0.066547863900    0.842097601250    0.6565    3.3483  -0.506    9
54637.269    0.315289067646    0.262598400624    0.8408    1.0392  -0.546    9
54644.271   -0.324388749863    1.736398800745    1.2755    1.5429  -0.701   15
54650.269    1.214745082102    0.226400399228    0.5163    0.7552  -0.290   32
54658.271   -0.087587138554    0.481899598626    0.7252    1.5630   0.414   12
54665.269    1.454680141766   -0.958201198387    0.9897    1.4050   0.230    6
54672.271    0.085649624005   -1.064401200779    0.8439    1.0932   0.200   11
54679.269    0.093259427153    0.761198400312    0.4365    1.9844  -0.205    9
54686.271   -0.009250115423    1.667397599192    0.3244    1.1091  -0.001   22
54690.497   -0.146081227964   -1.587099600542    0.6256    1.5349   0.829    6
54691.502   -4.268249486176  -19.488301199999    6.0043   26.2706   0.998    3
54692.499   -0.436599707479   -2.144001600257    1.5067    5.6657   0.971    4
54693.500    2.610039527637    8.772400799373    1.1709    3.8727   0.954    7
54694.500   -1.036885195682   -5.059900799154    0.7660    2.4498   0.707    4
54695.501   -2.727024245883   -9.926701198637    1.5240    5.0495   0.959    6
54696.502    5.692937847266   23.839999200348    3.7993   16.4901   0.996    3
54698.500   -1.738634725861   -4.037900401244    0.7129    1.8435   0.580    5
54699.501   -0.648032661973   -4.738899599133    1.8703    7.1464   0.979    4
54700.501    0.026707899116   -0.734101199029    0.5240    1.2083   0.652    9
54701.499   -0.574770062320   -1.254801600226    1.0954    1.8250   0.891    6
54702.499   -0.398550284612   -0.819399600971    0.8417    2.2365   0.860    5
54703.500    0.662210228242    1.981900800274    0.4822    1.1862   0.748    8
54704.501   -0.040585006100    0.244497599766    0.3620    0.8132   0.302    6
54707.270    0.803216829165   -1.249801200132    0.6592    1.0044  -0.315   15
54714.271    0.365722054291   -1.110402000748    0.5364    1.4073  -0.145    8
54721.270   -2.170757874983    0.941500800522    0.7255    0.9564   0.069    9
54728.271   -1.160881648391   -0.856299600827    1.7634    1.4490  -0.573    3
54735.270    0.460324387882   -0.521402399656    0.2622    0.6125  -0.105   27
54742.271    0.135484541965   -0.986601600417    0.2745    1.0862   0.021   11
54749.273   -0.404817181322    0.241397999190    0.4162    0.9726   0.120   17
54756.271   -1.094777552270   -1.209801599700    1.1051    1.0304  -0.196   14
54763.273    0.810826835876    0.243698399061    0.4293    0.9756  -0.020    8
54770.268    1.335607882893    1.320897599300    1.2968    1.3912   0.398    3
54777.270    0.595064092094   -0.963702001400    0.4746    2.2266   0.175    8
55026.206   -0.987344019421   -0.061801200957    0.7788    0.4864   0.471    8
55379.271    0.292459454638   -0.757900801318    0.5640    1.6748   0.486    4
55411.209   -0.599687623082    0.428698801258    0.3444    0.8493  -0.202   11
55421.271   -0.125188925941   -1.453302000343    0.2707    0.6633   0.379   12
55439.209   -0.265003053632    5.144097599086    3.6391   13.1988  -0.969    3
55454.228   -0.207107032906   -0.117601199179    0.1341    0.2316   0.037  131
55516.207   -0.070430017709    0.541299600343    0.2150    0.2270   0.136   25
55518.249   -0.372436790043    0.209998799150    0.1462    0.3055   0.080  105
55525.999    2.886384105020   -2.829002398741    1.1884    1.8662  -0.639   10
55578.997    0.362291200099   -0.547001998896    0.8839    1.8130  -0.485   14
55589.272   -0.567758327857   -1.339002000478    0.5860    0.9105  -0.134   20
55596.270   -0.466441258513    0.550699201440    0.4952    0.9129  -0.571   61
55603.268    0.611028739707    1.563199198884    0.5348    1.4721  -0.186   13
55615.230   -0.637439640112   -0.716399998524    0.1901    0.4180   0.155   23
55650.228    0.152494893742    0.207799198648    0.1631    0.3053  -0.019   47
55659.272    0.971977236931   -1.968400799157    0.5021    1.0039  -0.440   22
55665.247    0.152645326948    0.571698000940    0.1306    0.4540   0.236   28
55685.226   -2.676290596390   -3.590402400988    6.7514   12.5100  -0.922    3
55687.272   -2.520364848456    0.820497599463    1.5811    1.2842   0.095    4
55691.206   -0.074605506091    0.182300398777    0.5551    0.3767  -0.043   13
55701.272   -0.015370243065    1.445900401009    0.2907    0.8776  -0.106   14
55708.270   -0.347816431555   -0.953899199629    2.2153    3.7509  -0.383    3
55734.228   -0.303052476499    0.507898801416    0.2920    0.6025   0.053   14
55757.268   -0.071472057735    0.605998799941    0.4132    0.6269  -0.139   37
55791.251    1.051657166499    1.390197598639    0.6377    1.6765   0.372   20
55797.227    4.209160788655    2.628198001631    1.8007    2.3408   0.654   10
55799.268    2.318625777163    0.577000799140    3.2317    2.0275  -0.479    6
55813.272    0.381686701903    0.252399598821    0.3963    0.6984  -0.112   25
55819.500   -0.067296569354    0.844498800490    0.1329    0.3580   0.026   27
55820.497   -0.455848236652   -0.095201999883    0.4477    0.4878  -0.151   13
55821.498   -0.051181488536   -0.012301200059    0.1244    0.3317   0.151   27
55822.498    0.048345038891    0.428597998692    0.2986    0.4486   0.109   14
55823.499   -0.310365077373   -0.381002400829    0.4476    0.5529   0.350    8
55824.500    0.000150433206   -0.551501999269    0.1685    0.3820  -0.103   24
55825.497    0.181892269871   -0.287499598528    0.1691    0.5012  -0.352   25
55826.498    0.173981600312    0.923198400926    0.1350    0.3216   0.061   35
