MJD,R.A. (mas),Dec. (mas),Err. R.A. (mas),Err. Dec. (mas),Corr.,Del.,RAcosDEC,BY,MJDtrunc,MJDReal
46494.236,-0.9587706186210001,-0.67080242161,0.3944,0.3278,0.469,30.0,-0.7510271933157908,1986.1732899488209,46494.0,46494
46499.236,0.9659382084579999,0.9180972142530001,0.3786,0.3256,0.556,32.0,0.586646071174427,1986.1869794951458,46499.0,46499
46504.233,3.6399235768300002,1.663898382276,0.4999,0.46,0.474,32.0,-0.33839500439642267,1986.2006608277427,46504.0,46504
46509.23,-0.833931512534,-2.238901186047,0.3596,0.3135,0.588,48.0,0.516620088663308,1986.2143421603398,46509.0,46509
46514.234000000004,2.884500003208,-0.373402787091,0.3527,0.306,0.5429999999999999,35.0,2.6857332904299707,1986.2280426583018,46514.0,46514
46518.503,0.916008457159,0.047599223763,0.3943,0.3823,0.527,33.0,0.9149709592525074,1986.2397307929539,46518.0,46518
46524.238,-0.647077275808,1.3065983750949999,0.3118,0.2703,0.52,60.0,-0.168974610603673,1986.2554327025885,46524.0,46524
46529.249,-0.053947874316999996,0.037897211768999996,0.3419,0.3298,0.469,33.0,-0.053909139020899645,1986.2691523659153,46529.0,46529
46534.235,0.93577092779,0.8264987798160001,0.3535,0.3246,0.485,29.0,0.6339429545085598,1986.2828035815103,46534.0,46534
46539.239,-2.169589486197,-1.70410322653,0.3297,0.3099,0.524,23.0,0.28836539681682555,1986.2965040794722,46539.0,46539
46544.239,0.9652789330529999,0.194497192751,0.434,0.3717,0.295,18.0,0.947078572468385,1986.3101936257972,46544.0,46544
46549.246,-0.6353222910149999,0.13289762250700002,0.2917,0.2604,0.244,28.0,-0.6297200830615517,1986.3239023374867,46549.0,46549
46554.236,-3.1774808885790002,-2.363702424191,0.8894,0.9649,0.122,6.0,2.2636237630684146,1986.337564504719,46554.0,46554
46559.236,-1.414286108116,-1.6311023955500001,0.3598,0.3474,0.47100000000000003,29.0,0.08523834723023925,1986.351254051044,46559.0,46559
46564.24,-2.646606231508,0.187099180948,0.3139,0.3146,0.493,47.0,-2.6004175223870982,1986.3649545490057,46564.0,46564
46567.505,1.0672076153849999,-1.576400399017,0.3734,0.316,0.519,24.0,-0.005980677247996518,1986.373893822756,46567.0,46567
46574.248,-1.666484049203,-0.5600015811069999,0.3587,0.3309,0.488,33.0,-1.411935728490824,1986.3923555449296,46574.0,46574
46579.244000000006,-1.209529158787,-1.540702822922,0.3822,0.3642,0.575,29.0,-0.03639347674005334,1986.4060341396173,46579.0,46579
46584.245,0.109065998275,-0.155102401322,0.3695,0.3798,0.544,29.0,0.10775673915161632,1986.4197264238514,46584.0,46584
46589.249,-0.798516088723,-0.65760117991,0.4253,0.3848,0.483,30.0,-0.6319941138560293,1986.4334269218134,46589.0,46589
46594.234000000004,-1.191746600815,-0.06320161674,0.41,0.3911,0.43799999999999994,32.0,-1.1893672102585862,1986.4470753994992,46594.0,46594
46599.245,-0.414701534925,-0.9884016037630001,0.3095,0.297,0.52,55.0,-0.22809640245806445,1986.460795062826,46599.0,46599
46604.235,-2.678273379064,-0.795002387122,0.3767,0.3474,0.516,29.0,-1.87554948265563,1986.4744572300583,46604.0,46604
46609.253,-1.550100768959,-0.304902010839,0.4771,0.4126,0.608,19.0,-1.4786044999993186,1986.4881960587497,46609.0,46609
46614.246,0.9372103287119999,0.09279719392899999,0.4723,0.4348,0.59,23.0,0.9331779150089318,1986.5018664397098,46614.0,46614
46619.242999999995,1.294905262362,1.2530988215080001,0.4575,0.3872,0.616,25.0,0.4045026601854675,1986.5155477723067,46619.0,46619
46624.247,-0.796926259277,-1.114700421567,0.3876,0.3646,0.513,33.0,-0.35100334871704936,1986.5292482702687,46624.0,46624
46629.233,0.110445669622,0.500799581005,0.3621,0.3235,0.486,32.0,0.09688282452377202,1986.542899485864,46629.0,46629
46634.247,-2.5417390177590002,-2.793103220711,0.3977,0.3564,0.532,28.0,2.388954096837935,1986.5566273629183,46634.0,46634
46639.233,0.051429618185999997,-0.440802006096,0.3043,0.2825,0.561,31.0,0.046513448961141284,1986.5702785785136,46639.0,46639
46644.240999999995,-1.373802507185,-1.264802381229,0.3687,0.3316,0.606,32.0,-0.41384577661758104,1986.5839900281126,46644.0,46644
46649.252,-1.143945758826,-2.7980999789179997,0.381,0.3732,0.547,32.0,1.0771212015543175,1986.5977096914394,46649.0,46649
46654.234000000004,0.652805464723,-2.0236032241879998,0.622,0.6311,0.366,32.0,-0.2855966983148863,1986.6113499553974,46654.0,46654
46659.238,1.401751652378,-2.7825012182349997,0.7556,0.6712,0.28300000000000003,31.0,-1.312343027626292,1986.6250504533593,46659.0,46659
