,MJD,Dec. (micas),Err. Dec. (micas)
340,48643.331,-107.398787463,555.2
341,48645.248,49.899591659,415.7
342,48648.831,-418.10039590499997,309.90000000000003
343,48650.252,-1875.8016068430002,379.8
344,48650.34,1161.5004126499998,503.70000000000005
345,48652.25,597.801590629,445.79999999999995
346,48655.84,-112.798807095,393.2
347,48659.252,231.80039647700002,381.0
348,48664.248,139.798802934,634.1
349,48666.082,236.001605458,987.9
350,48667.335,552.200410198,345.7
351,48669.84,314.200812568,805.9
352,48673.259000000005,178.700395281,360.8
353,48676.835,-834.9984000229999,357.70000000000005
354,48678.168,920.09881314,408.5
355,48680.25,-415.400398879,327.7
356,48683.83,-191.199606547,518.4
357,48687.248,450.500411375,378.0
358,48688.333,306.20160487199996,428.8
359,48690.831,-558.601203693,344.9
360,48692.165,-2414.1996050279995,487.4
361,48692.255999999994,-221.799589895,457.2
362,48694.254,132.300007749,483.3
363,48697.833,-689.299190526,942.9
364,48701.252,-243.69838627099998,466.6
365,48704.835,-1023.8003852689999,919.5
366,48708.254,1118.998807215,477.9
367,48711.833,-3749.500805839,2643.6000000000004
368,48715.248,-49.100410138,494.8
369,48718.835,-479.19960479699995,746.8000000000001
370,48722.25,-75.898788054,513.9
371,48725.837,3158.3016010470005,1386.9
372,48727.166,-437.601596559,392.79999999999995
373,48728.248,-593.7011906099999,384.5
374,48732.835,-679.1003983149999,377.90000000000003
375,48736.25,569.599203004,371.7
376,48739.833,-92.30038813300001,412.8
377,48741.25,290.300391725,571.4
378,48743.255999999994,-242.79839578899998,299.4
379,48746.835,-1750.2011871779998,1157.1
380,48748.3,-143.999986335,970.0999999999999
381,48750.25,636.098405948,371.3
382,48753.833,-3021.6996009359996,2059.7
383,48754.257000000005,1714.298412026,2363.7999999999997
384,48757.267,-62.89918985700001,387.1
385,48758.337,4568.601599431,2851.3
386,48759.422,2559.200390806,2491.5
387,48760.832,-6.699588084,466.0
388,48764.25,-38.599191043,425.09999999999997
389,48765.331,-547.999201217,419.3
390,48767.837,327.200410766,539.5
391,48771.240999999995,-551.001599547,374.7
392,48774.835,257.101194734,806.9
393,48776.081,-551.699997686,1002.5999999999999
394,48778.25,630.900004239,735.1
395,48781.837,195.598801156,705.2
396,48786.337,497.800814969,553.0
397,48788.832,3059.9999973900003,2915.6
398,48792.25,387.601195939,452.7
400,48794.42,3308.500814114,682.0
401,48795.833,720.100791796,694.3000000000001
402,48797.251,571.100414959,678.3000000000001
403,48799.252,-1047.59999715,535.9000000000001
