%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248  -36.031455866645 -311.286402002153    1.0197    3.5824   0.228   14
53503.270   -0.374527994808    0.111700799010    0.3608    0.6622  -0.403   17
53517.270   -0.162794173903    0.751399198862    0.2246    0.4580  -0.021   22
53524.269   -0.372737452891    0.321497999423    0.2469    0.4874  -0.268    8
53531.270    0.165626959410   -0.908802000055    0.3280    0.6700  -0.235    9
53538.269   -0.044763955057   -0.446601600501    0.2550    0.6417  -0.327    8
53542.206    0.340654263886    0.344199600022    0.2824    0.4155  -0.385   12
53545.270   -0.561193821745    0.164498398902    0.2895    0.6207  -0.114   10
53552.269    4.271082271673   -0.669801599784    2.2179    1.9470  -0.311   12
53559.271   -0.427496361123   -0.102301201110    0.2676    0.4732  -0.032   13
53566.269   -0.078637685979    0.127000800276    0.3369    0.5299   0.018   20
53573.271   -0.256050140482   -0.081201599045    0.3850    0.5410  -0.025    6
53580.269   -0.111014616683    1.047200399995    0.5343    2.4743  -0.569    4
53587.271    0.138618193883    0.513799198387    0.2687    0.4903  -0.086   19
53593.250    9.074562518221  -30.030598801289    1.8227    5.9704  -0.975    3
53594.269   -5.283049703027    2.420099998801    1.6699    1.0725  -0.321    9
53601.271   -0.302457868387   -0.405399601888    0.2006    0.4276  -0.189   32
53608.269    0.178458158667   -0.223300801849    0.3272    0.5853  -0.326   19
53615.271    0.077889387651   -0.788101200300    0.2673    0.3422  -0.151   22
53622.269    0.567607894650   -0.125701199849    0.3339    0.6662  -0.465   18
53643.271   -1.435435276727   -0.999899999599    0.5848    0.5198  -0.048   23
53657.271    1.049415528526   -0.738201599049    0.6165    0.4446   0.162    8
53664.269    0.345130618679   -0.478101599910    0.9367    1.8715  -0.846    4
53671.267    0.260823901112   -0.368200801049    0.2272    0.3586   0.010   13
53677.243    4.813622172355  -17.500899599909    0.3908    1.2211  -0.530    4
53678.269   -0.000748298327    0.232801199118    0.3095    0.7044  -0.493    8
53685.271    0.086989069868    0.000000000000    0.5971    0.5512  -0.412   12
53697.269   -0.140412196375   -0.565002000386    0.4680    0.4763   0.023    8
53703.205    1.308452348294    0.331599598979    0.7973    0.8648  -0.561   14
53706.269    0.231129322709   -0.399999601441    0.5153    0.6199  -0.462   16
53727.271   -4.148729388250    2.373699598479    1.8029    2.0352  -0.751    7
53734.269    0.418242785126   -0.362199601511    1.0086    0.6814  -0.504   20
53740.270    1.751168519277   -0.455000402155    2.1019    1.2155  -0.319    6
53748.287    0.936162530883   -2.390299200172    0.8943    2.4622  -0.661    5
53753.204    2.836098090999   -6.300201602016    1.5228    4.0304  -0.825    6
53754.256   10.477613739532  -87.127700401624    1.3511    7.8878  -0.928    3
53755.267   -0.674446819387   -2.112199199544    0.2666    0.7373  -0.156   15
53762.269    0.188456572418   -3.001302000527    0.2869    0.7928  -0.150   11
53768.252    0.210390914467   -0.289900800965    0.1096    0.3398  -0.395   63
53769.271    0.231576958188    1.081598398045    0.2856    0.5144   0.408   16
53776.269   -0.842609158468   -0.150901201934    0.4832    0.7774  -0.229    8
53783.271    0.864840906354   -1.307300399134    1.4268    3.2911  -0.928    5
53787.205   -0.036111908319    0.073997998129    0.3211    0.4243  -0.370   17
53797.271   -0.274704265108    0.416800798675    0.4983    1.5236  -0.732    7
53804.269   -0.363784539741    0.097300801016    0.4026    0.7223  -0.141   21
53811.271    1.787276967021   -2.007500399515    2.1979    1.6676  -0.883    5
53818.269    0.286489760201    0.559598399619    0.6207    0.5652   0.354   19
53825.271   -0.380494025107    1.847998800386    0.3720    3.6430  -0.149    3
53832.269   -0.289028600445   -0.140000401672    0.2192    0.6179   0.046   38
53846.277    0.272312193931   -2.619702000928    0.8622    2.3401  -0.716    3
53853.271   -0.411381280305    0.110800798936    0.3230    0.6105  -0.141   16
53860.269   -0.234864096760    0.084499198039    0.3529    0.6484  -0.217   12
53874.269   -0.072517558336   -0.578998800904    0.2616    0.6486  -0.008   13
53888.269    0.326329724985   -0.812901602032    0.3522    1.6590  -0.052    8
53893.204   -1.721477401448   -0.454701601171    0.6875    0.8492   0.129   17
53895.271   -0.054465166533   -0.392698801477    0.5366    0.5749   0.556    4
53900.268   -0.145035320236    1.452499199317    0.2996    1.1283  -0.429    8
53909.271    0.740246588523    1.368601200369    3.0624    1.7128   0.509    6
53916.270   -1.297114488681   -5.302601999091    0.7501    2.0327   0.256    8
53930.270    0.923331535189   -0.473201999185    0.4915    1.2224  -0.488   10
53936.245   -8.161526599055   -3.527200800235    7.4924    5.2249   0.984    3
53951.268   -0.797397567932   -0.026398799946    0.2831    0.4222  -0.060   17
53958.270   -0.122356140434    1.004000399618    0.3375    0.7506   0.265   20
53965.268   -0.590587737300    1.499698800345    2.6108    1.7026   0.428   11
53972.270   -0.178608388310   -0.577000799140    0.5821    0.7492   0.182   13
53979.272    0.784713341306   -1.237899600426    2.1912    1.4763  -0.937    4
53986.273   -0.893042145113    0.447299998640    1.0501    1.2257  -0.562   11
54000.270    1.147599149514   -1.859101199386    1.4074    1.9414  -0.871   13
54014.270    0.315138838002   -0.538902001423    1.6848    2.9131  -0.943   11
54021.272   -0.134442298375   -0.090701999511    0.4525    0.5695  -0.442   27
54028.270    0.196961850088   -0.182098800039    0.6975    1.1186  -0.535   16
54035.268   -2.538270267622    1.440100800210    2.2019    3.0610  -0.880    5
54042.270   -0.361395929139   -0.082000799750    0.6339    0.9834  -0.403   19
54048.249    0.061026008506    0.134600398027    0.0851    0.1261  -0.416  201
