%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248   -5.120965711474 -174.725999991665    0.6536    2.0286  -0.010   15
53276.205   -0.275394353310    0.028198806490    0.2445    0.2792   0.068   23
53278.247    0.329408574810    0.315399610429    0.2621    0.3395   0.085   21
53283.207    0.045759028731   -0.120398398451    0.2082    0.2184  -0.015   19
53284.226    0.024070104757    0.397101602800    0.7974    1.8216  -0.293   10
53285.253    0.256922781996    0.211201206923    0.0850    0.1215  -0.085  156
53290.205    0.214941990166   -0.162698398753    0.2162    0.2101   0.115   24
53297.204    0.021131476056    0.261698400550    0.2251    0.2328   0.093   18
53304.224    0.079343738558    0.168199201767    0.1825    0.3668  -0.050   35
53311.204    0.421766431380    0.784101602846    0.2038    0.9227  -0.207   18
53318.206   -0.200248655753    0.307900802454    0.2464    0.5136   0.080   40
53325.226   -0.184295909040   -0.915299989401    0.3239    0.5075   0.246   34
53326.223    0.681349309025    0.037299609801    0.7090    0.6194   0.186    6
53332.206    0.026726764083    0.369900001829    0.5492    0.5483  -0.564   18
53341.249    0.044919420531    0.068698800249    0.0814    0.1042   0.004  145
53346.228   -0.177857767397   -1.400101193383    0.4591    0.7063  -0.261   16
53347.225    0.807852759663    0.703501206090    0.9856    0.7395   0.356    9
53353.204    0.055834518042   -0.253799989025    0.2790    0.3300   0.270   30
53354.223   -1.940633892852    1.367200803770    0.8164    0.7295  -0.066  101
53367.226    0.174919138695    2.010099606764    0.3845    0.7941  -0.300    6
53374.206   -0.007697553944   -0.175100394983    0.2855    0.2983   0.032   27
53381.207    0.053876577682   -0.050698798759    0.2806    0.2957  -0.012   12
53389.206    0.197168946911    0.322801203367    0.5134    0.2631   0.437   28
53390.247    0.040160495288    0.011199604444    0.1986    0.3604   0.016   29
53395.204    0.200527379712   -0.023101200952    0.5636    0.2488   0.208   13
53402.206   -0.089839031969   -0.245901590290    0.3022    0.2676   0.038   12
53403.225    0.230055128678    0.268200003006    0.4912    0.6115   0.298   46
53409.204   -0.362855640819    0.182699999129    0.1974    0.2176   0.062   21
53410.227    0.405813875574   -0.369601194450    0.0931    0.2234   0.117   61
53411.253   -0.391681425403   -0.192801589094    0.2656    0.2574  -0.242   26
53416.206   -0.540293604115    1.095001209706    0.5134    0.3267  -0.063   15
53423.208   -0.256644058036   -0.951299992380    0.4049    0.4477   0.120   36
53430.206   -0.023368331282   -0.174999598812    0.1061    0.2689  -0.019   30
53437.204   -0.117267569528    0.551800806647    0.1680    0.3177   0.019   16
53444.206    0.146234434252   -0.284601590295    0.1853    0.2243   0.096   36
53451.208   -0.344384069505   -0.364100391437    0.1363    0.1858  -0.013   17
53452.223   -0.396719074605    1.557500407046    0.4979    0.7687   0.201  220
53458.206    0.444997118844   -0.015901200356    0.2398    0.2875   0.237   28
53460.248   -2.404663276344   -7.220901598259    0.1199    0.2215   0.213   58
53466.227   -0.676452549057   -0.463399200612    0.5329    0.3742   0.202   38
53472.206   -0.057372654302    0.479800800690    0.1195    0.3027   0.067   64
53479.204    0.153928742780   -0.429598794938    0.3224    0.3456   0.219   22
53486.206   -0.111390312125   -0.274399191369    0.2595    0.3145   0.051   39
53493.204   -0.004476764961   -0.261298797000    0.1487    0.1712   0.045   30
53500.206   -0.330668178018    0.294901204256    0.4702    0.5150   0.275   62
53509.246   -0.083541970467   -0.089099991385    0.1286    0.2621   0.005   59
53514.206    0.264338366564   -0.294901191467    0.2893    0.2515   0.092   40
53522.205    0.038481278888    1.100401203757    0.1660    0.4372  -0.132   23
53535.204   -0.115588353127   -0.299699989625    0.2533    0.3627  -0.352   17
53542.206    0.000000000000    0.298000804833    0.2670    0.3042  -0.438   23
53543.225   -0.088438539528    0.379900808412    0.2443    0.2960  -0.205   81
53549.208    0.401195839565    0.007898398735    0.2338    0.2035   0.115   25
53550.223   -1.033709656433   -0.383500795920    0.7517    0.5697  -0.014   26
53551.250   -0.019311179514   -1.552499990964    0.0905    0.3114  -0.151  160
53555.994   -0.320172884607    0.502498804167    0.7802    1.1106  -0.271  111
53557.207    0.070806576414    0.360100800378    0.1604    0.3635   0.083   48
53563.204   -0.050796868840    0.736498810738    0.1703    0.3915   0.024   30
53564.223   -3.570891475542   -0.321501596545    0.1759    0.2501   0.018   55
53570.206    0.009235690204    0.173300401229    0.1544    0.2313   0.046   44
53577.204   -0.079484818699    0.196498804428    0.1659    0.1840  -0.003   31
53584.202    0.058353342643    0.346201198909    0.2132    0.2384   0.114   37
53598.210   -0.028405980484   -0.055501190843    0.2732    0.3806  -0.173   25
53600.248   -0.417709470520    0.461498410687    0.1757    0.3191   0.196   62
53605.208    0.225437092670    0.038098804112    0.2636    0.4450   0.057   30
53607.250    0.433242413133    1.902301202961    0.1405    0.1399  -0.275  116
53612.206    0.096696977713    0.277401602489    0.1913    0.4258  -0.078   46
53618.996   -0.755235594281    1.536598803398    0.5636    0.8391  -0.090   61
53620.205    0.165404533626   -0.705301199844    0.3421    0.7165   0.207   31
53626.195    0.107890799183    0.206600407182    0.1149    0.1364   0.166   92
53626.498    0.317375145140    0.047998801733    0.1448    0.1778   0.243   83
53627.196    0.236073466222   -0.320601593273    0.1367    0.2673   0.312   85
53627.499    0.026447849217   -0.097999189563    0.1800    0.2077   0.155   70
53628.197    0.129861883439    0.079099210382    0.1128    0.1493   0.121   79
53628.500    0.134059924441   -0.223300789060    0.1201    0.1919   0.200  114
53629.198   -0.352498182133   -0.132501600092    0.1234    0.1467   0.219   76
53629.501   -0.110688347743    0.005198401709    0.1797    0.1718   0.186   61
53630.195   -0.131678934565    0.059698805899    0.1143    0.1374   0.187   82
53630.498    0.086339519027    0.508298401769    0.1395    0.1792   0.162   88
53631.196   -0.046179023738    0.184600801845    0.0957    0.1199   0.183   91
53631.499   -0.119645504894   -0.033901189056    0.1380    0.1880   0.252   84
53632.196   -0.046739907980    0.083300406573    0.1263    0.1343   0.303   74
53632.500    0.212423165565    0.011401209576    0.1414    0.1826   0.394   78
53633.197   -0.182337968680    0.223700405400    0.0947    0.1461   0.220  105
53633.500    0.102853149981    0.485899205671    0.1402    0.2275   0.264   77
53634.205   -0.065910007353    0.497401211419    0.3024    0.2403  -0.380   83
53634.501   -0.066470891594    0.429901209031    0.1295    0.1874   0.089   99
53635.195    0.126362370497    0.171000007754    0.0955    0.1372   0.138   92
53635.498   -0.100895209621    0.064000811051    0.1245    0.1819   0.201   92
53636.196   -0.071646184614   -0.164300394090    0.1029    0.1416   0.198   94
53636.499    0.145112665770   -0.056300397944    0.1725    0.2014   0.242   84
53637.197   -0.110409623784    0.172699205336    0.1701    0.1695   0.160   55
53637.500    0.161767376865   -0.121201199477    0.1820    0.2147   0.305   74
53638.197    0.043099123990    0.246600001219    0.1384    0.1546   0.285   90
53638.497   -0.069829324395    0.009399610690    0.1664    0.1754   0.254   75
53639.198   -0.069688244254   -0.228700795901    0.1144    0.1454   0.312   78
53639.501   -0.164423845285   -0.051598789241    0.1354    0.1836   0.210   73
53640.199   -0.190871885408   -0.234799200882    0.1055    0.2194   0.306  107
53642.248    0.157149340857   -0.675100794467    0.1276    0.2288  -0.511  110
53647.208    0.400776035465    0.566701207561    1.3640    0.6292   0.555   37
53654.206    0.582415476086   -0.233398797889    0.3240    0.2693   0.037   25
53655.225   -0.759433635282   -0.124700390813    0.2527    0.2744   0.162   18
53661.204    0.950866404932    0.231699600306    0.4962    0.4720   0.112   27
53662.227    0.045618139497    2.962101603998    0.4046    0.6369   0.225   19
53668.206    2.087566855164    0.173599208608    1.2601    0.5960   0.458   42
53675.205    0.244748272184   -0.600598789902    0.2531    0.3379  -0.063   19
53682.203   -1.560989142536   -0.191199593758    1.0607    0.5735   0.541   40
53689.216    0.028546869718   -0.039898797866    0.2550    0.3345   0.349   39
53690.227   -0.070386772314    0.042001205713    0.1763    0.3062  -0.138   81
53696.203    0.326469946109    0.514000809915    0.4637    0.3873   0.262   19
53703.205    1.051479263364    0.507200400079    0.3052    0.4750   0.159   12
53704.242   -1.549654431831   -1.337000398394    0.6325    0.5507   0.373   13
53711.225   -0.284489154279    0.553100400680    0.1366    0.1458   0.115   34
53712.248   -0.055414713942   -0.011001593236    0.1480    0.3350   0.440   76
53718.224    0.451572904306   -1.124200790059    0.6112    0.7729   0.408  111
53719.250   -0.266017582965    0.100900804512    0.1244    0.1697   0.085   81
53724.203   -0.438138982194   -0.619700399795    0.7121    0.4179   0.283   24
53725.226    0.523642329343   -0.541501192686    0.4543    0.6545   0.257   32
53732.205    1.981355272382   -0.292701594162    0.9335    0.7108  -0.254    8
53739.207    3.104205432724   -0.088401593246    1.1464    0.2547   0.277    9
53745.205   -0.607604103910   -0.301499996169    0.4583    0.2522   0.000    4
53753.204   -0.156027763281   -0.413798390753    0.3841    0.3789  -0.047   22
53760.227   -1.211987227929   -2.150301594384    0.3980    0.8059   0.544   79
53761.246   -0.113909136726    0.531601207854    0.2691    0.3154  -0.201   26
53766.207   -0.191291689509   -0.224999999432    0.2147    0.1998   0.258   18
53768.252   -0.200389735894    0.094399202055    0.1891    0.2296  -0.540   68
53773.205   -0.755934122340    0.696499203912    0.4091    0.3176  -0.008    8
53774.227   -1.974080767954    2.357499603534    0.4873    0.8568  -0.263   46
53780.207   -0.147211686271   -0.071600389617    0.1897    0.2263   0.071   48
53787.205   -0.241111115424    0.103399209195    0.2015    0.3107  -0.070   37
53794.229   -0.360054655936   -0.276598788673    0.1977    0.2773   0.095   26
53808.203   -0.290087687722    0.036500402700    0.1938    0.2914  -0.233   22
53815.205    0.386364861335    0.290800804237    0.2676    0.3280  -0.031   21
53816.224   -1.086884269733   -0.293399992302    1.0375    0.6919   0.800  168
53822.207   -0.137277468008   -0.037000789632    0.1996    0.2208   0.191   24
53824.248    0.096555897572    0.593499611057    0.1748    0.3328  -0.090   41
53829.205    0.228375912278   -0.763401591541    0.4163    0.3902  -0.096   19
53836.207    0.513005955791    0.153799200575    0.5659    0.5120   0.263    6
53844.206    0.487538794915    0.893001602265    0.2566    0.5935   0.530    7
53850.203    0.298903573826   -0.872600398338    0.2746    0.4020  -0.110   21
53852.249    0.307860730977   -0.474199188716    0.2783    0.3728  -0.265   16
53858.202    0.208084044422   -0.725000398916    0.3461    0.2662   0.317   22
53871.205   -0.687646370527   -0.431398788692    0.7654    0.4698   0.140   18
53878.207    0.398257210864   -0.500198397901    0.2801    0.3116   0.004   13
