   DATE        X           sigma      Y         sigma 
48501.8400      0.327      0.161     -0.279      0.146 
48504.1680     -0.509      0.082     -0.219      0.095 
48506.4190      0.013      0.086      0.122      0.082 
48508.1870     -0.763      0.249      0.438      0.245 
48509.2490     -0.100      0.111      0.343      0.114 
48515.8370     -0.070      0.120     -0.065      0.121 
48522.8340     -0.603      0.125      0.396      0.122 
48525.0850     -0.382      0.149      0.111      0.187 
48529.8350      0.000      0.108     -0.096      0.109 
48532.2480     -0.186      0.192      0.463      0.163 
48536.8320     -0.227      0.121      0.175      0.125 
48543.8320     -0.027      0.103     -0.002      0.103 
48544.9780      0.018      0.083      0.044      0.080 
48546.1900     -0.144      0.074      0.205      0.070 
48548.4760     -0.203      0.072      0.129      0.073 
48549.6880     -0.162      0.059     -0.052      0.057 
48550.8340      0.002      0.143      0.194      0.154 
48551.9810     -0.172      0.069      0.263      0.069 
48553.1860     -0.205      0.101     -0.047      0.104 
48557.8340      0.128      0.100      0.017      0.100 
48559.1670     -0.051      0.092      0.252      0.102 
48562.4190      0.024      0.072      0.187      0.067 
48564.8340     -0.088      0.096      0.297      0.098 
48569.3340      0.338      0.128      0.118      0.130 
48571.8340     -0.032      0.232      0.213      0.205 
48573.1720      0.001      0.080     -0.031      0.092 
48576.3200     -0.071      0.137      0.436      0.122 
48578.8360      0.149      0.128     -0.194      0.124 
48580.2420     -0.393      0.110      0.199      0.101 
48581.2940      0.086      0.201     -0.572      0.199 
48582.3810     -0.299      0.158      0.155      0.174 
48585.8340      0.058      0.100      0.306      0.103 
48591.7510     -0.564      0.219      0.041      0.239 
48592.8350      0.037      0.112      0.012      0.110 
48594.3270     -0.338      0.163     -0.031      0.286 
48595.2510      0.225      0.063      0.317      0.054 
48599.8350      0.195      0.151     -0.054      0.148 
48601.1680      0.744      0.255      0.626      0.345 
48602.2310     -0.117      0.062     -0.006      0.066 
48605.2530      0.166      0.143      0.236      0.153 
48606.8330      0.130      0.101      0.325      0.091 
48608.2520     -0.061      0.068      0.221      0.069 
48609.2580     -0.248      0.064      0.126      0.062 
48611.4200      0.311      0.127      0.038      0.128 
48613.5030     -0.028      0.115     -0.197      0.127 
48620.8390      0.071      0.182     -0.291      0.174 
48627.8360      0.172      0.129      0.538      0.127 
48629.3350      0.019      0.060      0.195      0.060 
48634.8330      0.224      0.113      0.388      0.116 
48636.1400     -0.069      0.285      0.112      0.284 
48639.3310     -0.371      0.130      0.103      0.159 
48641.8330      0.091      0.072      0.113      0.074 
48643.3330      0.043      0.094      0.147      0.095 
48648.8340     -0.138      0.065      0.018      0.064 
48650.2510      0.010      0.088      0.148      0.092 
48655.8410      0.297      0.093      0.054      0.090 
48657.2510      0.044      0.051      0.110      0.054 
48662.8330      0.000      0.062     -0.097      0.062 
48667.3360     -0.087      0.122     -0.204      0.167 
48669.8400     -0.056      0.189     -0.058      0.193 
48671.2550      0.029      0.156     -0.186      0.165 
48674.3340      0.249      0.119      0.452      0.114 
48676.8350      0.194      0.069     -0.024      0.072 
48678.1730      0.102      0.087     -0.125      0.105 
48683.8310      0.260      0.126      0.225      0.123 
48685.3340      0.020      0.055      0.164      0.051 
48688.3330      0.037      0.173     -0.154      0.214 
48690.8320      0.108      0.087      0.050      0.098 
48692.1630      0.271      0.096     -0.048      0.120 
48695.3370     -0.010      0.156      0.248      0.151 
48697.8350      0.332      0.090      0.345      0.094 
48702.3400      0.124      0.117      0.360      0.120 
48704.8360      0.223      0.108     -0.131      0.106 
48711.8340      0.090      0.131     -0.078      0.141 
48718.8360      0.163      0.148      0.103      0.154 
48720.4180      0.120      0.199      0.185      0.216 
48725.8430      0.311      0.259     -0.621      0.270 
48728.2520     -0.065      0.097      0.628      0.138 
48732.8380      0.113      0.092      0.267      0.094 
48734.3370     -0.173      0.068     -0.091      0.064 
48739.8350      0.118      0.115     -0.251      0.112 
48741.1700     -0.354      0.217     -0.162      0.204 
48746.8350      0.180      0.294     -0.132      0.322 
48748.1700      0.005      0.086      0.066      0.089 
48753.8340      0.060      0.169     -0.265      0.173 
48755.3360      0.087      0.070      0.227      0.067 
48758.3390      0.317      0.250      0.248      0.246 
48760.8320      0.230      0.098     -0.011      0.101 
48763.1690     -0.032      0.160     -0.324      0.142 
48764.0620     -0.450      0.166      0.065      0.163 
48765.3320     -0.022      0.103     -0.100      0.106 
48767.8360      0.163      0.138      0.018      0.140 
48770.1820     -0.526      0.168      0.063      0.187 
48772.3360      0.187      0.117     -0.011      0.119 
48773.4230      0.593      0.166      0.096      0.156 
48774.8350     -0.040      0.138     -0.382      0.143 
48775.9150      0.067      0.150     -0.098      0.152 
48776.9960      0.221      0.178      0.301      0.164 
48781.8360      0.625      0.160     -0.007      0.162 
48787.0460     -0.966      0.240      0.119      0.277 
48790.1690     -0.470      0.140     -0.362      0.124 
48794.4220      0.111      0.207      0.167      0.213 
48795.8350      0.355      0.142     -0.008      0.147 
48797.1690     -0.031      0.076      0.006      0.084 
48802.8320      0.200      0.114     -0.065      0.120 
48804.4190      0.359      0.060      0.135      0.066 
48809.8360      0.070      0.141     -0.399      0.134 
48811.1690     -0.268      0.101     -0.505      0.106 
48812.0620      0.013      0.086     -0.225      0.091 
48816.8350      0.019      0.080      0.109      0.080 
48821.3320     -0.090      0.105     -0.028      0.128 
48823.8440     -0.178      0.240      0.010      0.241 
48825.3340      0.054      0.120     -0.089      0.101 
48826.3370      0.016      0.120     -0.184      0.115 
48828.6690     -0.765      0.164     -0.286      0.173 
48829.7490     -0.354      0.154     -0.324      0.180 
48830.8350      0.227      0.182     -0.877      0.204 
48831.9600      0.101      0.066     -0.557      0.071 
48833.1260      0.153      0.063     -0.094      0.065 
48834.2490     -0.084      0.137     -0.062      0.141 
48835.4160     -0.205      0.064      0.071      0.067 
48836.6680     -0.375      0.066     -0.302      0.067 
48837.8360     -0.248      0.118      0.095      0.118 
48838.9590     -0.095      0.062     -0.048      0.062 
48840.1260     -0.175      0.064     -0.274      0.064 
48842.4170     -0.305      0.058     -0.425      0.060 
48843.6660     -0.114      0.060     -0.266      0.064 
48844.8330      0.161      0.111     -0.013      0.116 
48846.1650     -0.242      0.059     -0.109      0.055 
48847.2540     -0.370      0.124     -0.101      0.126 
48851.8370     -0.334      0.125     -0.164      0.129 
48853.1660     -0.121      0.069     -0.350      0.076 
48857.4230      0.023      0.252     -0.022      0.247 
48858.8360     -0.164      0.158     -0.520      0.168 
48859.9220      0.093      0.204     -0.145      0.205 
48861.0040     -0.005      0.143      0.214      0.134 
48862.7460      0.054      0.085      0.378      0.098 
48863.3340     -0.601      0.179      0.346      0.178 
48864.4230     -0.491      0.146      0.340      0.150 
48865.8350     -0.239      0.081      0.066      0.084 
48867.4170     -0.248      0.072     -0.113      0.075 
48872.8340      0.314      0.110     -0.378      0.118 
48879.8340     -0.320      0.083     -0.194      0.090 
48882.4320      0.365      0.211      0.022      0.220 
48886.8330     -0.427      0.096      0.093      0.104 
48888.1700     -0.122      0.069     -0.074      0.074 
48893.8370     -0.315      0.114      0.184      0.117 
48900.8320     -0.227      0.093     -0.287      0.096 
48907.8350     -0.306      0.125     -0.384      0.126 
48909.2520     -0.411      0.046     -0.351      0.050 
48914.8330     -0.414      0.080     -0.318      0.089 
48916.2530     -0.328      0.073      0.016      0.064 
48919.4180      0.143      0.303      0.369      0.310 
48921.8330     -0.215      0.111      0.372      0.117 
48928.8320     -0.052      0.105     -0.002      0.113 
48930.0030     -0.204      0.228     -0.376      0.228 
48931.1650     -0.035      0.114     -0.313      0.097 
48935.8330     -0.247      0.075     -0.328      0.081 
48937.2540     -0.012      0.145      0.267      0.123 
48942.8350     -0.167      0.104      0.223      0.106 
48944.4180     -0.097      0.157      0.123      0.151 
48947.3350     -0.353      0.058     -0.175      0.065 
48949.8340     -0.392      0.095      0.061      0.111 
48956.8330      0.142      0.086      0.203      0.094 
48958.0020     -0.571      0.195     -0.496      0.186 
48959.0860     -0.178      0.075     -0.093      0.065 
48962.3470     -0.198      0.112      0.017      0.116 
48970.8360     -0.542      0.085      0.100      0.087 
48972.3330     -0.567      0.116      0.183      0.128 
48976.1690     -0.489      0.325     -0.696      0.243 
48977.8330      0.272      0.097     -0.265      0.109 
48984.8340     -0.178      0.079     -0.059      0.081 
48986.2530     -0.274      0.056     -0.113      0.055 
48993.0870     -0.356      0.065     -0.079      0.055 
49007.4200     -0.304      0.042      0.106      0.044 
49013.0030      0.593      0.254      0.183      0.276 
49014.4160     -0.283      0.119      0.146      0.108 
49015.1660      0.172      0.319     -0.638      0.345 
49020.0030     -0.218      0.594      1.919      0.645 
49021.0860     -0.578      0.189     -0.023      0.175 
49028.0860     -0.346      0.065      0.217      0.054 
49029.1790     -0.040      0.168      0.166      0.180 
49031.3340     -0.003      0.040     -0.163      0.043 
49034.7710      0.197      0.234     -0.144      0.209 
49050.0000     -0.248      0.102      0.116      0.115 
49063.0160     -0.206      0.083      0.230      0.065 
49070.0830      0.013      0.175      0.710      0.118 
49071.1220      0.082      0.185      0.550      0.212 
49091.0000     -0.200      0.219      0.515      0.268 
49092.0800      0.111      0.110      0.347      0.103 
49093.1670      0.254      0.113      0.036      0.120 
49099.1680      0.165      0.092      0.152      0.082 
49105.0830      0.052      0.322      0.259      0.423 
49106.1680     -0.051      0.045     -0.012      0.051 
49111.1000      0.178      0.082      0.174      0.071 
49112.1660     -0.452      0.090      0.479      0.095 
49114.3390     -1.071      0.200     -0.534      0.181 
49120.3340      0.004      0.042      0.119      0.042 
49129.1680      0.115      0.067     -0.182      0.068 
49132.1680      0.032      0.156      0.321      0.148 
