   DATE        X           sigma      Y         sigma 
49525.2520      0.097      0.099      0.078      0.107 
49532.2500      0.076      0.093      0.212      0.107 
49539.2520      0.047      0.070      0.137      0.074 
49546.2520      0.076      0.083      0.134      0.086 
49553.2550     -0.027      0.085     -0.130      0.087 
49560.2560     -0.065      0.099     -0.017      0.088 
49567.2490      0.251      0.136      0.555      0.150 
49574.2500     -0.067      0.069      0.006      0.061 
49581.2490      0.093      0.074     -0.138      0.063 
49588.2520      0.210      0.082     -0.144      0.074 
49595.2530      0.049      0.083      0.011      0.074 
49602.2510      0.055      0.058     -0.010      0.056 
49609.2510      0.222      0.068     -0.121      0.068 
49616.2510      0.045      0.062     -0.140      0.062 
49623.2500      0.153      0.059     -0.102      0.060 
49630.2500      0.155      0.062      0.306      0.059 
49637.2510      0.123      0.057     -0.154      0.065 
49644.2500      0.311      0.079      0.106      0.092 
49651.2600      0.332      0.064     -0.336      0.076 
49658.2610      0.020      0.053     -0.170      0.061 
49665.2550      0.051      0.074      0.009      0.106 
49672.2500      0.045      0.063     -0.088      0.073 
49679.2530      0.054      0.063     -0.197      0.081 
49686.2500     -0.027      0.059     -0.201      0.067 
49693.2500      0.131      0.074     -0.245      0.090 
49700.2490      0.303      0.050     -0.269      0.055 
49707.2510      0.142      0.051     -0.340      0.064 
49714.2500     -0.092      0.066     -0.195      0.071 
49721.2500     -0.015      0.048     -0.224      0.051 
49728.2520      0.000      0.053     -0.155      0.053 
49735.2540      0.121      0.063     -0.224      0.059 
49742.2510      0.022      0.051     -0.165      0.045 
49749.2510     -0.025      0.068     -0.220      0.060 
49756.2520     -0.200      0.064     -0.274      0.055 
49763.2520     -0.113      0.059     -0.034      0.050 
49770.2520     -0.112      0.067     -0.211      0.057 
49777.2510     -0.076      0.102      0.014      0.115 
49784.2520      0.044      0.053      0.051      0.050 
49791.2500      0.053      0.083     -0.005      0.071 
49798.2510     -0.061      0.067      0.062      0.062 
49805.2510     -0.168      0.076      0.142      0.069 
49812.2520     -0.059      0.053     -0.013      0.051 
49819.2510     -0.072      0.067     -0.017      0.069 
49826.2510     -0.252      0.056      0.097      0.062 
49833.2500     -0.010      0.070      0.081      0.075 
49840.2510     -0.129      0.066     -0.160      0.078 
49847.2510     -0.005      0.067     -0.115      0.082 
49854.2530     -0.143      0.062      0.152      0.072 
49861.2510      0.171      0.065      0.359      0.088 
49868.2530     -0.003      0.058     -0.013      0.065 
49875.2570     -0.274      0.082     -0.242      0.094 
49882.2510      0.102      0.064     -0.084      0.069 
49889.2530      0.181      0.146     -0.255      0.133 
49896.2520      0.008      0.071      0.270      0.071 
49904.2520     -0.180      0.099      0.162      0.079 
49910.2520     -0.054      0.083      0.096      0.072 
49917.2530      0.034      0.083     -0.048      0.076 
49924.2510      0.165      0.109     -0.110      0.111 
49931.2520     -0.110      0.077      0.087      0.068 
49938.2520      0.071      0.130     -0.602      0.123 
49945.2520      0.114      0.086     -0.053      0.073 
49952.2510     -0.031      0.072      0.010      0.061 
49959.2510     -0.067      0.071     -0.194      0.064 
49966.2510     -0.375      0.080      0.057      0.076 
49973.2520      0.049      0.093      0.039      0.073 
49980.2510      0.395      0.109      0.047      0.105 
49987.2520     -0.178      0.079      0.081      0.071 
49994.2520     -0.029      0.059      0.309      0.058 
50001.2520     -0.037      0.089     -0.044      0.089 
50008.2510      0.066      0.050      0.039      0.045 
50015.2510     -0.070      0.079     -0.461      0.092 
50022.2520      0.069      0.048      0.003      0.051 
50029.2540      0.258      0.078      0.216      0.083 
50036.2520      0.180      0.137      0.018      0.131 
50043.2520     -0.012      0.054     -0.058      0.064 
50050.2520      0.013      0.057     -0.076      0.070 
50057.2520     -0.025      0.051      0.166      0.062 
50064.2520      0.093      0.042     -0.108      0.045 
50071.2520      0.013      0.074     -0.049      0.082 
50078.2530      0.049      0.048     -0.106      0.050 
50085.2510      0.020      0.070      0.086      0.071 
50092.2520      0.215      0.059     -0.185      0.059 
50099.2530      0.154      0.084     -0.362      0.080 
50106.2520      0.032      0.080     -0.117      0.075 
50113.2520      0.255      0.093     -0.298      0.087 
50120.2510      0.120      0.051     -0.040      0.051 
50127.2530     -0.090      0.098     -0.152      0.085 
50134.2510      0.225      0.080      0.136      0.071 
50141.2510     -0.067      0.105     -0.255      0.094 
50148.2510      0.063      0.053      0.094      0.049 
50155.2510     -0.051      0.067     -0.159      0.060 
50162.2520      0.135      0.082     -0.254      0.073 
50169.2520      0.016      0.057     -0.062      0.058 
50176.2520     -0.228      0.061      0.201      0.060 
50183.2520     -0.066      0.061     -0.181      0.061 
50190.2510     -0.039      0.080     -0.072      0.084 
50197.2520      0.064      0.095     -0.299      0.101 
50204.2520      0.041      0.133      0.024      0.123 
50211.2520     -0.400      0.130     -0.353      0.123 
50218.2530     -0.041      0.068      0.018      0.077 
50225.2520      0.102      0.110      0.086      0.118 
50232.2510      0.200      0.089     -0.153      0.110 
50239.2520      0.094      0.082      0.056      0.101 
50246.2520     -0.128      0.085     -0.169      0.095 
50253.2530      0.101      0.107      0.173      0.115 
50260.2520     -0.131      0.058     -0.030      0.056 
50267.2500     -0.367      0.091      0.125      0.092 
50274.2520     -0.039      0.065     -0.032      0.073 
50281.2510      0.056      0.070      0.221      0.067 
50288.2520     -0.169      0.101     -0.161      0.081 
50295.2530     -0.229      0.105      0.035      0.080 
50302.2530     -0.033      0.105      0.261      0.083 
50309.2520     -0.409      0.103     -0.040      0.084 
50316.2520     -0.013      0.065     -0.028      0.055 
50323.2520     -0.014      0.099     -0.062      0.094 
50330.2530      0.103      0.067      0.092      0.060 
50337.2520     -0.479      0.131      0.048      0.116 
50344.2520     -0.079      0.052      0.036      0.050 
50351.2530      0.027      0.057      0.082      0.055 
50358.2520      0.097      0.056      0.252      0.051 
50365.2540     -0.185      0.070      0.100      0.064 
50372.2530      0.111      0.070      0.219      0.073 
50379.2520      0.024      0.069      0.059      0.073 
50386.2520      0.100      0.070      0.072      0.077 
50393.2520      0.087      0.061      0.025      0.069 
50400.2520      0.169      0.074     -0.057      0.081 
50407.2470     -0.134      0.069      0.243      0.077 
50414.2530      0.227      0.055      0.000      0.060 
50421.2520      0.624      0.122     -0.164      0.133 
50428.2500      0.118      0.052     -0.055      0.060 
50435.2530      0.068      0.056      0.041      0.063 
50441.0850     -0.248      0.181      0.088      0.119 
50448.2530     -0.074      0.104     -0.255      0.135 
50456.2530      0.173      0.076     -0.141      0.073 
50463.2540      0.214      0.058     -0.103      0.068 
50470.2530      0.240      0.069     -0.019      0.069 
50477.2520      0.312      0.081     -0.040      0.077 
50484.2520      0.077      0.072     -0.205      0.070 
50491.2520      0.020      0.075      0.160      0.081 
50498.2530     -0.064      0.089     -0.153      0.091 
50505.2520     -0.127      0.093     -0.475      0.104 
50512.2520      0.182      0.085     -0.336      0.079 
50519.2530      0.073      0.112     -0.301      0.110 
50526.2530      0.193      0.064     -0.127      0.057 
50533.2530     -0.028      0.085     -0.196      0.074 
50540.2530     -0.031      0.068     -0.169      0.063 
50547.2510     -0.185      0.071     -0.002      0.068 
50554.2520     -0.383      0.073     -0.049      0.067 
50561.2510      0.062      0.104     -0.054      0.087 
50568.2520     -0.115      0.100     -0.170      0.090 
50575.2520      0.034      0.095     -0.150      0.084 
50582.2520     -0.168      0.076     -0.218      0.068 
50589.2530     -0.112      0.076     -0.193      0.080 
50596.2520     -0.114      0.074     -0.249      0.077 
50603.2510     -0.033      0.089     -0.039      0.096 
50610.2520      0.173      0.116      0.133      0.117 
50617.2530     -0.051      0.097     -0.070      0.114 
50624.2520     -0.085      0.089     -0.150      0.100 
50631.2530     -0.002      0.080      0.038      0.091 
50638.2520      0.043      0.076     -0.118      0.084 
50645.2520      0.005      0.100     -0.529      0.107 
50652.2530      0.166      0.117      0.484      0.126 
50659.2530     -0.058      0.085     -0.092      0.091 
50666.2520      0.105      0.095      0.245      0.103 
50673.2520     -0.012      0.088     -0.142      0.092 
50680.2520     -0.477      0.078     -0.148      0.086 
50687.2520     -0.144      0.136     -0.001      0.125 
50694.2520      0.652      0.099     -0.019      0.096 
50701.2520     -0.148      0.076     -0.142      0.076 
50708.2530     -0.023      0.099      0.102      0.090 
50715.2530     -0.061      0.075      0.128      0.063 
50722.2520     -0.015      0.092     -0.145      0.084 
50729.2510      0.034      0.092     -0.022      0.077 
50736.2520      0.018      0.128      0.535      0.118 
50743.2530      0.013      0.082      0.049      0.068 
50750.2530      0.073      0.078      0.112      0.074 
50757.2520      0.129      0.074     -0.060      0.069 
50764.2520     -0.139      0.092      0.586      0.089 
50771.2520      0.311      0.070      0.220      0.067 
50778.2520     -0.136      0.074     -0.328      0.070 
50785.2520      0.026      0.072      0.113      0.078 
50792.2520      0.343      0.074      0.231      0.077 
50799.2520      0.128      0.066     -0.006      0.065 
50806.1670      0.021      0.076      0.169      0.075 
50813.1690      0.146      0.071      0.023      0.067 
50820.2510      0.019      0.071     -0.213      0.081 
50827.2520      0.105      0.068      0.176      0.081 
50834.2530      0.051      0.063      0.018      0.069 
50841.2520      0.672      0.392      0.597      0.278 
50848.2530     -0.019      0.077      0.025      0.084 
50855.2510      0.050      0.068     -0.058      0.072 
50862.2540     -0.029      0.075      0.020      0.062 
50869.2510     -0.009      0.070     -0.118      0.063 
50876.2520      0.016      0.053     -0.073      0.054 
50883.2520     -0.103      0.072      0.000      0.067 
50890.2530      0.021      0.083     -0.107      0.078 
50897.2530      0.000      0.099      0.119      0.084 
50904.2530      0.105      0.106     -0.427      0.108 
50911.2540     -0.070      0.107     -0.090      0.094 
50918.2520      0.067      0.067     -0.203      0.064 
50925.2530     -0.011      0.096     -0.030      0.101 
50932.2530      0.025      0.088     -0.018      0.069 
50939.2510     -0.032      0.073      0.017      0.077 
50946.2530      0.130      0.052     -0.195      0.066 
50953.2530     -0.043      0.101     -0.145      0.111 
50960.2530      0.077      0.060     -0.056      0.061 
50967.2530      0.109      0.072     -0.191      0.086 
50974.2520      0.199      0.053     -0.137      0.064 
50981.2520      0.050      0.081     -0.182      0.082 
50988.2520      0.032      0.072     -0.277      0.074 
50995.2520      0.195      0.082     -0.411      0.089 
51002.2530      0.150      0.061     -0.073      0.062 
51009.2530      0.001      0.076     -0.024      0.083 
51016.2520      0.055      0.108     -0.075      0.093 
51023.2510     -0.100      0.079     -0.232      0.074 
51030.2530     -0.019      0.078     -0.059      0.068 
51037.2520     -0.333      0.088     -0.169      0.073 
51044.2530     -0.122      0.091     -0.172      0.086 
51051.2520     -0.096      0.077     -0.156      0.069 
51058.2530      0.036      0.066     -0.032      0.059 
51065.2530      0.119      0.068     -0.194      0.062 
51072.2520      0.013      0.075     -0.225      0.064 
51079.2530     -0.125      0.062     -0.008      0.056 
51086.2530      0.031      0.063      0.006      0.062 
51093.2530      0.005      0.078     -0.117      0.075 
51100.2520      0.088      0.066     -0.046      0.067 
51107.2510      0.103      0.070      0.068      0.070 
51114.2510     -0.012      0.071      0.284      0.073 
51121.2500     -0.175      0.081     -0.023      0.080 
51128.2510     -0.071      0.067      0.038      0.072 
51135.2510     -0.077      0.068     -0.031      0.072 
51142.2500      0.080      0.050      0.244      0.054 
51149.2510     -0.031      0.048     -0.082      0.055 
51156.2500     -0.006      0.055      0.119      0.063 
51163.2500     -0.189      0.083      0.014      0.089 
51170.2510     -0.021      0.047      0.030      0.051 
51177.2510      0.101      0.068     -0.214      0.064 
51184.2500      0.024      0.059     -0.097      0.059 
51191.2510     -0.046      0.051     -0.099      0.051 
