   DATE        X           sigma      Y         sigma 
48231.2500      0.188      0.224      0.470      0.345 
48234.2560      0.313      0.128      0.114      0.174 
48236.2500      0.056      0.103      0.237      0.122 
48237.3330     -0.198      0.140      0.196      0.185 
48239.2490     -0.072      0.116      0.404      0.156 
48240.3350      0.219      0.086      0.695      0.132 
48243.1690      0.366      0.196      0.366      0.152 
48244.2500     -0.475      0.185      0.265      0.205 
48246.2650     -0.382      0.313     -0.026      0.214 
48248.5150      0.021      0.286     -0.288      0.178 
48252.3230      0.621      0.161      0.121      0.169 
48253.4210      0.223      0.439     -0.258      0.544 
48254.2500     -0.019      0.130     -0.024      0.153 
48259.2500      0.230      0.131      0.272      0.135 
48260.3500     -0.186      0.246      0.592      0.312 
48262.7310      0.318      0.298      0.277      0.222 
48264.2500      0.291      0.126      0.012      0.130 
48265.3520      0.094      0.189      0.279      0.249 
48266.1180     -0.263      0.988      0.038      0.706 
48267.1680     -0.034      0.180      0.134      0.173 
48269.2510      0.156      0.162      0.181      0.165 
48272.3260      0.472      0.225      0.057      0.281 
48273.1690     -0.057      0.177      0.035      0.200 
48274.2490      0.237      0.120     -0.152      0.118 
48279.2490      0.301      0.246      0.168      0.241 
48280.3440     -0.116      0.165      0.043      0.191 
48284.2510      0.080      0.126     -0.058      0.105 
48285.3330      0.409      0.201     -0.187      0.238 
48287.2490      0.362      0.165     -0.318      0.167 
48289.2420      0.266      0.159      0.092      0.133 
48292.2510      0.322      0.127      0.146      0.159 
48294.2490      0.144      0.146     -0.091      0.113 
48295.3420     -0.085      0.227      0.090      0.293 
48298.8360     -0.408      0.811      0.343      0.520 
48300.3330      0.213      0.087     -0.046      0.077 
48301.4100      0.258      0.250     -0.239      0.200 
48304.2570     -0.003      0.256     -0.106      0.179 
48307.2710     -0.130      0.164     -0.232      0.176 
48309.2470      0.219      0.123     -0.095      0.092 
48312.2470      0.307      0.121      0.069      0.154 
48314.2470      0.362      0.130      0.036      0.102 
48315.3310      0.259      0.279     -0.020      0.231 
48316.4170      0.184      0.215     -0.160      0.167 
48319.2490      0.086      0.184      0.075      0.179 
48322.2320     -0.090      0.188      0.199      0.204 
48324.2520      0.429      0.121     -0.081      0.100 
48327.2670      0.525      0.203      0.139      0.179 
48329.2510      0.174      0.139      0.052      0.105 
48330.3330      0.122      0.071     -0.200      0.066 
48331.4150     -0.487      0.256      0.086      0.181 
48334.2500      0.162      0.143     -0.210      0.127 
48336.4140     -0.005      0.236     -0.205      0.180 
48339.2490      0.356      0.151     -0.142      0.127 
48339.9380      0.102      0.125     -0.064      0.111 
48341.1660      0.335      0.170     -0.188      0.146 
48344.2500     -0.278      0.149      0.040      0.134 
48348.1650      0.216      0.175     -0.573      0.205 
48349.2550      0.329      0.195     -0.451      0.162 
48350.3630      0.429      0.247     -0.006      0.174 
48354.2490      0.337      0.137     -0.175      0.137 
48356.2590      0.087      0.193     -0.060      0.149 
48357.3350      0.584      0.755     -0.804      0.507 
48358.4160      0.004      0.546     -0.451      0.714 
48359.2510      0.338      0.120     -0.108      0.123 
48361.9300     -0.058      0.093     -0.010      0.115 
48364.2440      0.113      0.127     -0.376      0.135 
48365.3330      0.091      0.078     -0.196      0.073 
48368.8320      0.315      0.110     -0.106      0.161 
48370.3350      0.308      0.107     -0.396      0.131 
48371.2470     -1.043      0.902     -0.178      0.613 
48372.3630      0.160      0.198      0.012      0.179 
48375.8320      0.065      0.108     -0.094      0.147 
48378.2510      0.249      0.267      0.103      0.186 
48379.3450      0.108      0.201     -0.219      0.257 
48382.8330      0.163      0.114      0.010      0.151 
48384.1650      0.111      0.110     -0.447      0.131 
48386.2690      0.243      0.203      0.126      0.160 
48387.9330     -0.013      0.852     -0.307      1.005 
48389.8310      0.257      0.104     -0.455      0.139 
48390.9140      0.027      0.116     -0.065      0.117 
48392.1250      1.067      0.652     -0.255      0.445 
48393.2510      0.323      0.195      0.068      0.155 
48396.8330      0.139      0.110     -0.174      0.131 
48398.2510      0.018      0.079     -0.193      0.072 
48400.2570     -0.162      0.190     -0.021      0.144 
48403.8320     -0.120      0.123     -0.353      0.141 
48406.2620      0.330      0.534     -1.090      0.561 
48407.3580      0.630      0.240     -0.277      0.300 
48410.8340     -0.004      0.130     -0.505      0.140 
48414.2720      0.421      0.175      0.163      0.192 
48417.8320     -0.099      0.126     -0.580      0.125 
48419.1690     -0.245      0.130     -0.268      0.144 
48421.2620      0.026      0.144     -0.087      0.158 
48424.8330      0.076      0.129     -0.124      0.125 
48428.2560     -0.084      0.147     -0.206      0.160 
48431.8330      0.629      0.134     -0.362      0.125 
48433.1740      0.009      0.269     -0.245      0.203 
48434.2480      0.076      0.381     -0.096      0.550 
