   DATE        X           sigma      Y         sigma 
48222.0760     -0.086      0.097     -0.130      0.110 
48223.1670     -0.396      0.436      0.571      0.336 
48224.2510     -0.030      0.126      0.347      0.184 
48225.3490     -0.173      0.077      0.228      0.118 
48229.2500      0.033      0.615      0.407      0.343 
48231.2500      0.294      0.214      0.537      0.321 
48234.2560      0.359      0.124      0.160      0.170 
48236.2500      0.034      0.102      0.352      0.120 
48237.3330     -0.222      0.139      0.130      0.195 
48239.2490     -0.021      0.114      0.408      0.155 
48240.3350      0.246      0.095      0.679      0.141 
48243.1690      0.243      0.181      0.397      0.146 
48244.2500     -0.445      0.175      0.258      0.198 
48246.2650     -0.228      0.326      0.019      0.231 
48248.5150      0.011      0.280     -0.289      0.175 
48252.3230      0.522      0.155      0.073      0.161 
48253.4210      0.039      0.391     -0.721      0.510 
48254.2500     -0.024      0.128      0.015      0.152 
48259.2500      0.262      0.132      0.326      0.133 
48260.3500     -0.265      0.237      0.689      0.280 
48262.7310      0.407      0.324      0.356      0.237 
48264.2500      0.296      0.121      0.077      0.129 
48265.3520      0.182      0.170      0.314      0.232 
48267.1680     -0.054      0.179      0.117      0.174 
48269.2510      0.223      0.163      0.144      0.161 
48272.3260      0.367      0.227      0.026      0.279 
48273.1690     -0.069      0.171      0.055      0.197 
48274.2490      0.277      0.120     -0.146      0.118 
48279.2490      0.321      0.219      0.101      0.215 
48280.3440     -0.167      0.167      0.047      0.191 
48284.2510      0.110      0.124     -0.040      0.104 
48285.3330      0.299      0.213     -0.202      0.239 
48287.2490      0.324      0.160     -0.377      0.171 
48289.2420      0.272      0.162      0.153      0.135 
48292.2510      0.287      0.123      0.135      0.153 
48294.2490      0.152      0.143     -0.040      0.109 
48295.3420     -0.053      0.247     -0.265      0.348 
48299.2460      0.129      0.208     -0.218      0.200 
48300.3330      0.238      0.094      0.009      0.083 
48301.4100      0.244      0.240     -0.303      0.191 
48304.2570      0.071      0.240      0.014      0.171 
48307.2710     -0.255      0.168     -0.078      0.178 
48309.2470      0.258      0.122     -0.027      0.090 
48312.2470      0.262      0.120      0.004      0.151 
48314.2470      0.381      0.127      0.039      0.100 
48315.3310      0.274      0.281     -0.032      0.231 
48316.4170      0.244      0.219     -0.103      0.170 
48319.2490      0.134      0.186      0.050      0.185 
48322.2320     -0.161      0.180      0.266      0.199 
48324.2520      0.449      0.119     -0.037      0.100 
48327.2670      0.460      0.211      0.042      0.196 
48327.9760     -8.234      6.206     -2.093      3.649 
48329.2510      0.237      0.134      0.104      0.101 
48330.3330      0.125      0.075     -0.132      0.070 
48331.4150     -0.639      0.252      0.066      0.175 
48334.2500      0.223      0.142     -0.179      0.127 
48336.4140     -0.104      0.232     -0.318      0.171 
48339.2490      0.330      0.146     -0.135      0.121 
48339.9380     -0.001      0.117     -0.003      0.102 
48341.1660      0.393      0.167     -0.200      0.144 
48344.2500     -0.372      0.146      0.107      0.135 
48348.1650      0.240      0.164     -0.331      0.209 
48349.2550      0.329      0.209     -0.450      0.178 
48350.3630      0.351      0.234      0.034      0.167 
48354.2490      0.341      0.137     -0.116      0.135 
48356.2590      0.054      0.184     -0.150      0.141 
48357.3350      0.522      0.672     -0.873      0.452 
48358.4160     -0.116      0.523     -0.481      0.696 
48359.2510      0.336      0.117     -0.108      0.122 
48361.9300     -0.002      0.090      0.015      0.110 
48364.2440      0.141      0.125     -0.323      0.131 
48365.3330      0.093      0.081     -0.226      0.077 
48368.8320      0.333      0.109     -0.065      0.160 
48370.3350      0.276      0.106     -0.415      0.133 
48371.2470     -1.128      0.841     -0.164      0.577 
48372.3630      0.188      0.187     -0.042      0.174 
48375.8320      0.073      0.107     -0.027      0.144 
48378.2510      0.225      0.265      0.158      0.183 
48379.3450      0.174      0.190     -0.144      0.251 
48382.8330      0.212      0.106      0.018      0.140 
48384.1650      0.120      0.112     -0.548      0.130 
48386.2690      0.477      0.193      0.146      0.150 
48389.8310      0.293      0.103     -0.429      0.136 
48390.9140     -0.025      0.116     -0.096      0.117 
48393.2510      0.430      0.190     -0.049      0.154 
48396.8330      0.134      0.110     -0.130      0.128 
48398.2510      0.046      0.082     -0.203      0.075 
48400.2570      0.011      0.184      0.080      0.139 
48403.8320     -0.062      0.122     -0.317      0.139 
48406.2620      0.267      0.499     -1.166      0.521 
48407.3580      0.706      0.239     -0.335      0.311 
48410.8340      0.031      0.123     -0.431      0.128 
48414.2720      0.238      0.175     -0.057      0.191 
48417.8320     -0.073      0.123     -0.518      0.124 
48419.1690     -0.252      0.117     -0.229      0.133 
48421.2620     -0.007      0.147     -0.074      0.169 
48424.8330      0.061      0.129     -0.072      0.123 
48428.2560     -0.033      0.145     -0.080      0.157 
48431.8330      0.620      0.128     -0.298      0.119 
48433.1740     -0.176      0.236     -0.142      0.174 
48434.2480      0.207      0.331      0.244      0.513 
48435.3490      0.242      0.205     -0.318      0.271 
48436.4180     -0.040      0.090     -0.280      0.087 
48437.5030      0.298      0.974     -0.772      1.158 
48438.8340      0.073      0.140     -0.205      0.106 
48440.2800      0.243      0.144     -0.003      0.167 
48441.5880      1.148      0.625     -0.510      0.952 
48445.8330      0.386      0.149     -0.031      0.127 
48447.0850      0.179      0.226      0.175      0.152 
48448.1670     -0.101      0.081     -0.268      0.084 
48449.2670     -0.079      0.125     -0.279      0.150 
48450.3320     -0.063      0.200     -0.030      0.226 
48451.3310     -0.498      0.258      0.052      0.240 
48454.1730      0.107      0.122     -0.227      0.105 
48455.3310     -0.180      0.222     -0.263      0.229 
48456.1660     -0.162      0.073     -0.070      0.087 
48457.4290     -0.181      0.203      0.114      0.170 
48459.2500     -0.074      0.145      0.216      0.143 
48460.3330     -0.370      0.231     -0.292      0.225 
48461.3360     -0.794      0.205      0.685      0.202 
48463.2600     -0.040      0.225     -0.217      0.267 
48465.1670      0.107      0.187     -0.146      0.218 
48466.1720     -0.328      0.161      0.449      0.205 
48467.2510      0.336      0.154     -0.226      0.115 
48468.3330      0.058      0.278     -0.471      0.243 
48470.2590      0.102      0.202     -0.122      0.237 
48471.3360      0.076      0.170     -0.178      0.147 
48472.4160      0.312      0.162      0.100      0.106 
48473.8330      0.300      0.154     -0.197      0.127 
48475.0840     -0.032      0.119      0.043      0.112 
48477.2620     -0.106      0.153      0.017      0.228 
48480.8320     -0.142      0.134      0.305      0.117 
48484.2770     -0.328      0.153      0.167      0.162 
48485.3330      0.149      0.271      0.147      0.192 
48487.8350      0.327      0.225      0.544      0.177 
48489.1670     -0.220      0.256      0.126      0.229 
48490.2490     -0.103      0.102     -0.104      0.093 
48491.3420      0.494      0.181     -0.154      0.148 
48494.3330     -0.163      0.078     -0.033      0.091 
48495.4220     -0.164      0.194     -0.366      0.136 
48497.2520      0.324      0.274      0.680      0.368 
48498.3600     -0.334      0.181     -0.426      0.144 
48501.8330     -0.195      0.150     -0.018      0.202 
48504.1670     -0.370      0.140     -0.173      0.104 
48505.3560     -0.070      0.163      0.122      0.135 
48506.4190     -0.018      0.089     -0.017      0.086 
48508.1870     -0.758      0.186     -0.457      0.271 
48509.2470      0.369      0.497     -0.234      0.386 
48512.2720     -0.470      0.163      0.354      0.136 
48513.3350     -0.651      0.230     -0.148      0.188 
48515.8360      0.060      0.132     -0.026      0.157 
48519.2660     -0.061      0.168      0.113      0.132 
48522.8330     -0.303      0.123      0.152      0.152 
48524.2530     -0.615      0.225      0.047      0.171 
48525.0830     -0.329      0.157      0.031      0.240 
48526.2850     -0.482      0.179      0.072      0.140 
48529.8340     -0.041      0.108     -0.273      0.132 
48532.2470     -0.163      0.230      0.398      0.188 
48533.3330     -0.106      0.181     -0.271      0.129 
48536.8320     -0.178      0.114     -0.033      0.150 
48538.2560      0.105      0.382      0.316      0.256 
48540.2570     -0.071      0.185      0.195      0.115 
48543.8310      0.020      0.101     -0.001      0.129 
48544.9780     -0.166      0.094     -0.111      0.092 
48546.1890     -0.293      0.089      0.066      0.076 
48547.3330      0.011      0.246      0.483      0.202 
48548.4760     -0.092      0.078     -0.111      0.082 
48549.6880     -0.106      0.069     -0.096      0.062 
48550.8340     -0.320      0.146      0.023      0.182 
48551.9790     -0.094      0.076      0.005      0.076 
48553.1860     -0.166      0.114     -0.105      0.111 
48554.3350      0.825      0.500      0.458      0.684 
48555.4170     -0.225      0.163      0.173      0.245 
48557.8330      0.119      0.098      0.082      0.116 
48559.1670      0.171      0.110      0.247      0.108 
48561.2530      0.251      0.193     -0.063      0.128 
48562.4180     -0.230      0.080     -0.030      0.093 
48564.8330     -0.055      0.108      0.029      0.122 
48568.2530      0.033      0.136      0.100      0.113 
48569.3330      0.442      0.139      0.226      0.170 
48571.8350     -0.206      0.298      0.084      0.276 
48573.1720      0.095      0.083      0.048      0.111 
48575.2510     -0.092      0.163      0.148      0.128 
48576.3260      0.099      0.156      0.467      0.184 
48578.8350      0.328      0.135      0.025      0.137 
48580.2410     -0.053      0.152     -0.091      0.120 
48581.2930     -0.548      0.199     -0.197      0.197 
48582.2510     -0.068      0.149      0.033      0.133 
48585.8340      0.162      0.137      0.169      0.128 
48587.2520      0.203      0.147     -0.057      0.137 
48588.0830      0.243      0.399      0.841      0.361 
48591.7510     -0.469      0.318     -0.281      0.243 
48592.8350     -0.020      0.131      0.117      0.129 
48593.4230      0.206      0.640      0.525      0.771 
48594.3260     -0.487      0.410     -0.739      0.354 
48595.2510     -0.058      0.061      0.075      0.070 
48596.3350     -0.102      0.156      0.076      0.239 
48599.8350      0.178      0.163      0.127      0.163 
48601.1700      0.299      0.209      0.754      0.232 
48602.2310      0.108      0.079     -0.257      0.092 
48603.3360     -0.369      0.107      0.000      0.163 
48605.2520      0.547      0.169      0.209      0.171 
48606.8330      0.054      0.124      0.275      0.121 
48608.2510     -0.033      0.063      0.090      0.067 
48609.2580     -0.135      0.074      0.072      0.060 
48610.3350     -0.060      0.134      0.102      0.213 
48611.4190      0.233      0.150      0.074      0.116 
48613.5030      0.436      0.192     -0.074      0.131 
48617.2500     -0.201      0.123      0.485      0.182 
48620.8390     -0.197      0.224     -0.082      0.229 
48624.2540     -0.064      0.106      0.082      0.165 
48627.8350      0.219      0.149      0.584      0.130 
48629.3350      0.064      0.065     -0.029      0.072 
48631.2500      0.201      0.113      0.684      0.175 
48634.8330      0.036      0.140      0.156      0.107 
48636.1390      1.052      0.302     -0.329      0.233 
48638.2510     -0.299      0.131     -0.357      0.223 
48639.3310      0.003      0.080      0.156      0.102 
48641.8320      0.101      0.099      0.005      0.075 
48643.3320      0.105      0.120      0.149      0.116 
48645.2490     -0.133      0.114      0.278      0.179 
48648.8320      0.088      0.087     -0.018      0.070 
48650.2520     -0.118      0.101      0.203      0.101 
48652.2510      0.521      0.111     -0.077      0.171 
48655.8400      0.352      0.121     -0.095      0.101 
48657.2500      0.086      0.059      0.070      0.063 
48659.2530     -0.026      0.106     -0.119      0.129 
48660.3310     -0.086      0.255      0.001      0.257 
48662.8330      0.206      0.083     -0.076      0.071 
48664.2500     -0.307      0.146      0.392      0.204 
48665.7670      6.204      2.135      7.343      2.210 
48667.3360      0.223      0.063     -0.110      0.087 
48669.8390     -0.062      0.241      0.022      0.223 
48671.2540     -0.032      0.133     -0.062      0.207 
48673.2580      0.053      0.114     -0.285      0.138 
48674.3330      0.221      0.135      0.335      0.132 
48676.8350      0.249      0.092      0.054      0.081 
48678.1690      0.109      0.104     -0.213      0.103 
48680.2490      0.091      0.096      0.054      0.104 
48683.8310      0.269      0.140     -0.030      0.140 
48685.3340      0.097      0.060      0.040      0.052 
48687.2500     -0.023      0.122      0.087      0.122 
48688.3320     -0.021      0.078     -0.061      0.093 
48690.8330      0.281      0.144      0.189      0.104 
48692.1660      0.220      0.129     -0.153      0.120 
48693.4980      0.153      0.310     -0.070      0.172 
48694.2530     -0.237      0.209      0.082      0.117 
48695.3360      0.243      0.154      0.130      0.153 
48697.8330      0.412      0.116      0.148      0.122 
48699.4970      0.000      0.262     -0.278      0.169 
48701.2520     -0.032      0.143     -0.299      0.127 
48702.3400      0.181      0.126      0.301      0.141 
48704.8350      0.330      0.113      0.130      0.137 
48708.2530      0.380      0.135      0.067      0.111 
48711.8330     -0.023      0.121      0.132      0.194 
48713.2560     -0.469      0.363     -0.002      0.259 
48715.2480      0.364      0.210     -0.027      0.208 
48718.8350      0.166      0.147      0.105      0.195 
48720.4170      0.076      0.300      0.063      0.224 
48722.2490      0.324      0.207     -0.247      0.140 
48725.8360      0.256      0.266     -0.840      0.403 
48727.1670      0.022      0.076      0.005      0.100 
48728.2490      0.096      0.137      0.077      0.101 
48732.8350      0.326      0.086     -0.071      0.123 
48734.3360     -0.080      0.083      0.007      0.069 
48736.2490     -0.046      0.149     -0.074      0.116 
48739.8350      0.151      0.111     -0.158      0.160 
48741.1690     -0.559      0.209     -0.407      0.221 
48743.2540      0.231      0.131     -0.025      0.094 
48746.8340      0.222      0.281     -0.456      0.475 
