   DATE        X           sigma      Y         sigma 
48573.1680      0.121      0.114      0.142      0.132 
48575.2510      0.005      0.173      0.129      0.147 
48576.3260     -0.025      0.171      0.283      0.202 
48578.8360      0.266      0.158      0.093      0.160 
48580.2410      0.122      0.144      0.236      0.149 
48581.2930     -0.719      0.222     -0.146      0.251 
48582.2520      0.163      0.179      0.187      0.159 
48585.8340      0.158      0.154      0.052      0.142 
48587.2520     -0.053      0.171     -0.147      0.161 
48588.0830     -0.819      0.419      0.140      0.470 
48591.7510     -0.132      0.249      0.028      0.193 
48592.8350     -0.227      0.144      0.220      0.141 
48593.4230      0.438      0.725      0.445      0.904 
48594.3270     -0.273      0.459     -0.304      0.469 
48595.2510      0.036      0.061      0.217      0.069 
48596.3350     -0.200      0.163      0.240      0.240 
48599.8350      0.200      0.200      0.239      0.200 
48601.1710      0.230      0.235      0.785      0.281 
48602.2310      0.001      0.099     -0.127      0.096 
48603.2770     -0.095      0.152      0.571      0.205 
48605.2520      0.021      0.189     -0.035      0.171 
48606.8330      0.087      0.130      0.326      0.121 
48608.2520      0.008      0.072      0.211      0.071 
48609.2580     -0.113      0.084      0.070      0.070 
48610.3350      0.032      0.153     -0.323      0.234 
48611.4200      0.164      0.184     -0.101      0.137 
48613.5030      0.305      0.221     -0.251      0.161 
48617.2500     -0.186      0.125      0.501      0.196 
48624.2550      0.101      0.124      0.011      0.174 
48627.8360      0.335      0.156      0.453      0.138 
48629.3350      0.139      0.064      0.018      0.073 
48631.2500     -0.065      0.132      0.485      0.192 
48634.8330     -0.108      0.147      0.182      0.115 
48636.1390      1.329      0.282     -0.085      0.199 
48638.2510     -0.248      0.153      0.012      0.228 
48639.3310      0.028      0.089      0.299      0.105 
48641.8320      0.090      0.112     -0.099      0.087 
48643.3320      0.155      0.110      0.168      0.098 
48645.2500     -0.209      0.133      0.125      0.203 
48648.8320     -0.052      0.086      0.049      0.072 
48650.2510      0.169      0.130      0.138      0.122 
48652.2510      0.736      0.128     -0.177      0.173 
48655.8410      0.239      0.128      0.094      0.118 
48657.2500      0.102      0.055     -0.019      0.062 
48659.2530      0.105      0.117     -0.087      0.147 
48662.8330      0.185      0.088     -0.043      0.076 
48664.2500      0.110      0.169      0.231      0.223 
48665.7680      5.003      2.422      2.588      2.700 
48667.3360      0.145      0.068     -0.080      0.095 
48669.8390     -0.067      0.285      0.171      0.274 
48671.2550      0.098      0.161      0.213      0.226 
48673.2580     -0.093      0.135     -0.144      0.158 
48674.3340      0.183      0.161      0.312      0.152 
48676.8350      0.171      0.096     -0.073      0.091 
48678.1730      0.109      0.155     -0.192      0.117 
48680.2490      0.237      0.097      0.136      0.106 
48683.8310      0.359      0.151      0.013      0.161 
48685.3340      0.076      0.062     -0.014      0.058 
48687.2500     -0.022      0.142      0.310      0.139 
48688.3320      0.014      0.079     -0.018      0.092 
48690.8330      0.359      0.153      0.189      0.110 
48692.1660      0.273      0.148     -0.016      0.146 
48694.2540     -0.013      0.240     -0.111      0.135 
48695.3360      0.185      0.152     -0.049      0.141 
48697.8330      0.244      0.134      0.333      0.138 
48699.4970     -0.466      0.351     -0.297      0.178 
48701.2520     -0.138      0.161     -0.099      0.138 
48702.3410     -0.228      0.166      0.162      0.185 
48704.8350      0.200      0.121      0.139      0.138 
48708.2540      0.723      0.152     -0.053      0.136 
48711.8340      0.118      0.136      0.239      0.195 
48713.2560      0.073      0.281     -0.051      0.271 
48715.2480      0.127      0.233      0.070      0.198 
48718.8360      0.013      0.157      0.324      0.195 
48720.4180      0.203      0.297      0.398      0.227 
48722.2500      0.086      0.210     -0.311      0.142 
48725.8360      0.289      0.374     -0.756      0.470 
48727.1670      0.127      0.091     -0.114      0.115 
48728.2500     -0.221      0.165      0.054      0.122 
48732.8350      0.212      0.096      0.081      0.132 
48734.3360     -0.106      0.092      0.081      0.076 
48736.2500     -0.266      0.168     -0.090      0.127 
48739.8350      0.059      0.133      0.050      0.162 
48741.1700      0.171      0.316      0.138      0.296 
48743.2550      0.208      0.134     -0.092      0.103 
48746.8340     -0.063      0.337     -0.098      0.520 
48748.1700      0.041      0.108      0.059      0.119 
48750.2510      0.332      0.150     -0.244      0.110 
48753.8340      0.251      0.153     -0.083      0.189 
48755.0180      0.665      0.412     -0.072      0.515 
48757.2660      0.498      0.188      0.216      0.144 
48760.8320      0.261      0.105     -0.529      0.140 
48763.1690     -0.289      0.248     -0.041      0.189 
48764.0610     -0.142      0.208      0.170      0.211 
48765.3320      0.108      0.127      0.091      0.097 
48767.8360      0.236      0.169      0.339      0.191 
48770.1730     -0.111      0.301     -0.096      0.295 
48771.2420     -0.013      0.160     -0.100      0.130 
48772.3360      0.319      0.178     -0.436      0.169 
48773.4230      0.685      0.275      0.010      0.169 
48774.8350     -0.621      0.191      0.006      0.228 
48775.9150     -0.370      0.254     -0.106      0.188 
48776.9960      0.176      0.249      0.252      0.204 
48778.2500      0.131      0.328     -0.148      0.313 
48781.8360      0.710      0.222      0.249      0.237 
48786.3370      0.484      0.181      0.818      0.232 
48787.0460     -0.223      0.262     -0.039      0.275 
48788.8330      0.110      0.168     -0.615      0.182 
48790.1680     -0.395      0.211     -0.285      0.172 
48792.2520     -0.001      0.285     -0.578      0.381 
48793.3360     -0.266      0.210     -0.481      0.289 
48794.4220     -0.558      0.293     -0.130      0.234 
48795.8340      0.510      0.194      0.425      0.212 
48797.1690      0.064      0.113      0.093      0.107 
48799.2530     -0.214      0.198     -0.751      0.216 
48802.8320      0.504      0.160     -0.162      0.143 
48804.4180      0.269      0.101     -0.082      0.095 
48805.5020     -0.289      0.232      0.045      0.187 
48809.8360      0.435      0.182     -0.354      0.148 
48811.0000      0.339      0.411     -0.189      0.576 
48812.0620      0.124      0.105      0.040      0.154 
48813.3300      0.077      0.155      0.068      0.171 
48816.8350      0.097      0.117      0.240      0.102 
48819.1700     -0.031      0.103     -0.027      0.082 
48820.2520     -0.336      0.174     -0.485      0.194 
48821.3320     -0.244      0.135     -0.120      0.150 
48823.8430      0.110      0.272     -0.453      0.272 
48825.3340      0.190      0.065     -0.114      0.052 
48826.3370      0.198      0.071     -0.308      0.060 
48827.4210      0.360      0.221      0.020      0.170 
48828.6680      0.031      0.177     -0.880      0.195 
48829.7490     -0.232      0.177     -0.326      0.169 
48830.8340      0.088      0.200     -0.560      0.156 
48831.8760      0.213      0.120     -0.392      0.108 
48833.1260     -0.107      0.088     -0.327      0.101 
48834.2490     -0.245      0.179     -0.300      0.227 
48835.4160     -0.257      0.085     -0.111      0.081 
48836.6680     -0.153      0.085     -0.452      0.088 
48837.8360     -0.174      0.200      0.178      0.155 
48838.8800      0.238      0.138      0.114      0.102 
48840.1260     -0.042      0.077     -0.431      0.091 
48841.2530     -0.044      0.104      0.192      0.144 
48842.4170     -0.174      0.079     -0.497      0.075 
48843.6670     -0.421      0.070     -0.142      0.073 
48844.8330      0.589      0.174      0.330      0.135 
48846.1640     -0.136      0.078     -0.210      0.087 
48847.2580      0.278      0.164     -0.702      0.143 
48848.2500     -0.227      0.129     -0.301      0.147 
48851.8370     -0.347      0.159     -0.437      0.165 
48853.1660      0.007      0.101     -0.188      0.066 
48855.2510      0.123      0.156     -0.197      0.177 
48856.3330      0.595      0.408      0.076      0.346 
48857.4230      0.517      0.423     -0.083      0.344 
48858.8360     -0.156      0.209     -0.027      0.204 
48859.9210      0.252      0.181     -0.379      0.365 
48861.0020      0.083      0.195      0.071      0.224 
48862.2550     -0.399      0.188      0.137      0.200 
48863.3340     -0.202      0.192      0.398      0.220 
48864.4230     -0.050      0.153     -0.260      0.204 
48865.8350     -0.195      0.122     -0.130      0.119 
48867.4170     -0.241      0.093     -0.235      0.100 
48869.2510     -0.291      0.154     -0.336      0.156 
48872.8340      0.592      0.128     -0.716      0.135 
48874.4190     -0.232      0.381     -0.482      0.264 
48876.2460      0.038      0.217     -0.151      0.271 
48879.8340     -0.145      0.111     -0.118      0.128 
48881.2660      0.324      0.321      0.022      0.256 
48882.4320      0.383      0.242      0.132      0.277 
48886.8330     -0.348      0.108     -0.105      0.137 
48888.1710     -0.170      0.088     -0.102      0.088 
48889.9180     -0.439      0.229      0.002      0.246 
48893.8360     -0.503      0.131      0.035      0.173 
48896.9160     -0.235      0.154      0.060      0.212 
48900.8320     -0.016      0.114     -0.125      0.120 
48903.9140     -0.665      0.201     -0.288      0.239 
48907.8350     -0.222      0.117     -0.037      0.160 
48909.2510     -0.276      0.061     -0.152      0.052 
48910.9170     -0.152      0.127      0.044      0.151 
48914.8330     -0.374      0.094     -0.228      0.124 
48916.2520      0.218      0.289      0.521      0.293 
48917.9210      0.023      0.102     -0.061      0.134 
48919.4180     -0.728      0.311     -0.124      0.435 
48921.8320      0.241      0.123      0.126      0.157 
48924.9180     -0.233      0.112     -0.261      0.134 
48926.3360      0.267      0.099     -0.245      0.110 
48928.8320      0.061      0.087     -0.009      0.105 
48930.0020     -0.353      0.260     -1.118      0.284 
48931.1690     -0.165      0.128     -0.280      0.128 
48932.3340     -0.030      0.093     -0.254      0.096 
48935.8330     -0.124      0.086     -0.256      0.106 
48937.2540     -0.128      0.129      0.461      0.129 
48939.2730     -0.152      0.308     -0.612      0.317 
48940.3760      0.103      0.182     -0.144      0.160 
48942.8350     -0.112      0.105      0.193      0.117 
48944.4180      0.115      0.261     -0.130      0.197 
48946.2530     -0.320      0.220     -0.775      0.319 
48947.3340     -0.355      0.075     -0.311      0.090 
48949.8340     -0.317      0.128     -0.098      0.147 
48956.8320      0.355      0.095      0.062      0.107 
48958.0020     -0.404      0.158     -0.299      0.192 
48959.0860     -0.034      0.093     -0.117      0.100 
48960.2510     -0.245      0.137     -0.026      0.119 
48962.3460     -0.370      0.123     -0.089      0.113 
48963.8340     -0.273      0.092     -0.129      0.111 
48965.2490      0.147      0.250      0.086      0.167 
48967.2520     -0.802      0.284     -0.157      0.227 
48970.8360     -0.238      0.096      0.001      0.095 
48972.3320     -0.271      0.159      0.028      0.117 
48973.1620     -0.214      0.330      0.568      0.327 
48976.1680      0.292      0.352     -0.258      0.279 
48977.8330      0.021      0.087     -0.194      0.092 
48979.2600     -0.056      0.126     -0.221      0.140 
48984.8340      0.029      0.105     -0.117      0.090 
48986.2530     -0.232      0.060     -0.270      0.070 
48987.3350      0.506      0.119     -0.138      0.146 
48991.8330      0.063      0.099     -0.119      0.088 
48993.0870     -0.024      0.118     -0.164      0.108 
48994.9180     -0.072      0.226      0.299      0.218 
48998.8360      0.066      0.196      0.232      0.178 
49002.2500     -0.098      0.117      0.000      0.153 
49005.8330      0.064      0.088      0.035      0.083 
49007.4200     -0.131      0.054     -0.012      0.044 
49009.2520     -0.044      0.110      0.093      0.131 
49012.8340     -0.070      0.098      0.192      0.088 
49014.4160     -0.164      0.120      0.504      0.176 
49015.1680     -0.252      0.477     -1.157      0.603 
49016.2500     -0.489      0.152      0.485      0.196 
49019.8380      0.108      0.115     -0.305      0.099 
49021.0890     -0.085      0.225      0.185      0.213 
49022.1750     -0.656      0.205     -0.036      0.342 
49023.0940      0.814      0.416      0.790      0.410 
49026.8340      0.011      0.098      0.020      0.090 
49028.0860     -0.282      0.093      0.178      0.072 
49029.1780     -0.198      0.212     -0.272      0.227 
49030.2520     -0.031      0.138      0.296      0.197 
49031.3340     -0.164      0.052     -0.312      0.042 
49033.8340      0.111      0.077     -0.081      0.071 
49034.7710      0.214      0.163     -0.666      0.260 
49037.2500      0.117      0.113     -0.068      0.134 
49040.8330     -0.236      0.106      0.125      0.111 
49044.2500      0.017      0.135      0.309      0.156 
49047.8350      0.137      0.082      0.205      0.103 
49050.0000     -0.120      0.075      0.316      0.066 
49051.2550     -0.361      0.168      0.315      0.132 
49054.8330     -0.218      0.105     -0.263      0.131 
49056.0860      0.041      0.129      0.077      0.125 
49058.2500      0.009      0.135     -0.020      0.118 
