   DATE        X           sigma      Y         sigma 
48386.2690     -0.248      0.184     -0.026      0.150 
48387.9340     -0.216      0.521     -0.232      0.663 
48389.8320      0.308      0.124     -0.507      0.166 
48390.9140     -0.057      0.110     -0.042      0.109 
48392.1250      0.442      0.702     -0.554      0.491 
48393.2410     -0.020      2.566     -0.628      1.093 
48395.7170      0.625      0.587     -0.983      0.420 
48396.8340      0.022      0.117     -0.193      0.138 
48398.2510     -0.007      0.079     -0.298      0.072 
48400.2570     -0.120      0.181     -0.032      0.145 
48403.8320     -0.094      0.135     -0.382      0.153 
48406.2620      0.825      0.483     -0.715      0.506 
48407.3580      0.548      0.233     -0.301      0.286 
48410.8340     -0.008      0.136     -0.455      0.146 
48414.2730      0.176      0.167      0.119      0.187 
48417.8320     -0.115      0.118     -0.625      0.123 
48419.1700     -0.272      0.097     -0.137      0.104 
48421.2620     -0.003      0.136     -0.009      0.154 
48424.8330      0.044      0.127     -0.060      0.126 
48428.2570     -0.118      0.139     -0.268      0.155 
48431.8330      0.552      0.125     -0.472      0.121 
48433.1750     -0.184      0.267     -0.331      0.197 
48434.2480      0.088      0.389     -0.451      0.566 
48435.3500      0.189      0.181     -0.245      0.246 
48436.4180     -0.137      0.084     -0.431      0.082 
48437.1380     -7.536     14.658      1.133     15.555 
48437.7170     -0.401      0.368     -0.778      0.408 
48438.5240      0.662      1.197     -0.636      1.691 
48439.1650      0.987      0.435      0.269      0.451 
48440.2800      0.055      0.151      0.068      0.170 
48441.5890      0.987      0.538     -0.801      0.838 
48445.8340      0.341      0.144     -0.051      0.127 
48447.0860      0.177      0.228      0.131      0.158 
48448.1680     -0.173      0.071     -0.265      0.076 
48449.2680     -0.054      0.130     -0.342      0.159 
48450.3320     -0.127      0.215     -0.200      0.234 
48451.3320     -0.466      0.249     -0.214      0.245 
48452.8330     -0.058      0.129      0.201      0.106 
48454.1730     -0.438      0.100     -0.192      0.077 
48455.3320     -0.070      0.230     -0.350      0.238 
48456.1660     -0.366      0.084     -0.072      0.100 
48457.4300     -0.243      0.194      0.156      0.160 
48459.2500     -0.066      0.134      0.136      0.135 
48460.3330     -0.404      0.240     -0.396      0.235 
48461.3360     -0.656      0.242      0.378      0.241 
48463.2600     -0.148      0.207     -0.248      0.269 
48465.1680     -0.037      0.207     -0.271      0.245 
48466.1720     -0.270      0.183      0.363      0.238 
48467.2520      0.325      0.165     -0.330      0.130 
48468.3340     -0.089      0.284     -0.546      0.270 
48470.2590      0.300      0.202     -0.294      0.230 
48471.3360     -0.037      0.169     -0.149      0.152 
48472.4160      0.275      0.176     -0.035      0.118 
48473.8330      0.170      0.167     -0.149      0.137 
48475.0840     -0.386      0.097     -0.380      0.072 
48477.2630     -0.156      0.164     -0.140      0.239 
48480.8320     -0.253      0.169      0.384      0.141 
48482.2550     -1.391      0.952      2.699      1.523 
48484.2770     -0.440      0.152      0.295      0.165 
48485.3340      0.112      0.273      0.056      0.198 
48487.8360      0.272      0.219      0.491      0.179 
48489.1680     -0.738      0.245      0.161      0.222 
48490.2070     -0.965      0.469      1.400      0.759 
